part,comparison,expected,encoder,group,objective,representation,test,n,repeats,im_size,detect,detect_lo,detect_hi,effect_mean,effect_sd
control,control-disjoint,accept,entropy-2-random-s1-64d,random,none,scalar,KS,4000,1000,256,0.029,0.02026631563648779,0.04133862283189209,0.01767,0.005455969208124254
control,control-disjoint,accept,entropy-2-random-s2-64d,random,none,scalar,KS,4000,1000,256,0.064,0.05043597980625934,0.08090107576107321,0.01940475,0.006187496661615261
control,control-disjoint,accept,jpeg_bytes,reference,reference,scalar,KS,4000,1000,256,0.036,0.026115418024352906,0.0494359438638175,0.018947,0.005423081780685222
primary,cifar10-vs-cifar100,reject,entropy-2-mse-64d,natural,mse,64d,C2ST,250,200,256,0.28,0.22236792842635128,0.34592431417771,0.53768,0.034894950924166654
primary,cifar10-vs-cifar100,reject,entropy-2-ssim-64d,natural,ssim,64d,C2ST,250,200,256,0.225,0.17262283786915622,0.28774246538592035,0.52976,0.03360628512644621
primary,cifar10-vs-cifar100,reject,entropy-2-nlpd-64d,natural,nlpd,64d,C2ST,250,200,256,0.225,0.17262283786915622,0.28774246538592035,0.52646,0.03959530780281926
primary,cifar10-vs-cifar100,reject,entropy-2-mse-u-64d,noise,mse,64d,C2ST,250,200,256,0.155,0.11139568514638545,0.211608058937256,0.5188200000000001,0.03499439383672762
primary,cifar10-vs-cifar100,reject,entropy-2-ssim-u-64d,noise,ssim,64d,C2ST,250,200,256,0.22,0.16816453539463405,0.2823892279196257,0.52728,0.03349450104121571
primary,cifar10-vs-cifar100,reject,entropy-2-nlpd-u-64d,noise,nlpd,64d,C2ST,250,200,256,0.15,0.107135265876273,0.20605693826655166,0.51824,0.033937919794825376
primary,cifar10-vs-cifar100,reject,entropy-2-random-s0-64d,random,none,64d,C2ST,250,200,256,0.545,0.4757848503696115,0.6125190090977398,0.5567,0.032237710836844465
primary,cifar10-vs-cifar100,reject,entropy-2-random-s1-64d,random,none,64d,C2ST,250,200,256,0.46,0.39232931140961247,0.5291783690638533,0.54948,0.03278367886616752
primary,cifar10-vs-cifar100,reject,entropy-2-random-s2-64d,random,none,64d,C2ST,250,200,256,0.32,0.2592642960770526,0.38752026605354306,0.53864,0.0331335238089763
primary,cifar10-vs-cifar100,reject,jpeg_bytes,reference,reference,scalar,KS,250,200,256,0.11,0.07377190160716048,0.16092798300912986,0.08442,0.02603811821157589
