part,comparison,rung,rung_name,member,scorer,im_size,subset,test,n,k_classes,repeats,detect,detect_lo,detect_hi,effect_mean,effect_sd
classdrop,cifar-k-of-10,4q,natural AE mse-2 (activation),mse,entropy-2-mse-act64d,256,-1,C2ST,2000,10.0,500,0.038,0.024459922123289107,0.0585852253992656,0.500421,0.011046957001817286
classdrop,cifar-k-of-10,5,untrained ResNet-18 (512),s0,resnet18-random-s0,224,-1,C2ST,2000,9.0,500,0.13,0.10332021037816715,0.16232200733470134,0.505061,0.011904401664930496
classdrop,cifar-k-of-10,5,untrained ResNet-18 (512),s0,resnet18-random-s0,224,-1,C2ST,2000,10.0,500,0.036,0.022890872735181415,0.05618477326149691,0.49915599999999993,0.010573961603864465
classdrop,cifar-k-of-10,5,untrained ResNet-18 (512),s1,resnet18-random-s1,224,-1,C2ST,2000,9.0,500,0.15,0.12137548023138253,0.1839617527402498,0.505466,0.011960637273991716
classdrop,cifar-k-of-10,5,untrained ResNet-18 (512),s1,resnet18-random-s1,224,-1,C2ST,2000,10.0,500,0.03,0.018263049234083534,0.04890409218496562,0.499531,0.010480674548901897
classdrop,cifar-k-of-10,5,untrained ResNet-18 (512),s2,resnet18-random-s2,224,-1,C2ST,2000,9.0,500,0.118,0.09259259259259259,0.14923261596501758,0.5052709999999999,0.011750066340238254
classdrop,cifar-k-of-10,5,untrained ResNet-18 (512),s2,resnet18-random-s2,224,-1,C2ST,2000,10.0,500,0.042,0.027632099334746148,0.06335205123956134,0.501053,0.010794336061101674
classdrop,cifar-k-of-10,5m,untrained ResNet-18 (64 ch),s0,resnet18-random-s0,224,0,C2ST,2000,9.0,500,0.138,0.11051755348949738,0.17100267032687666,0.507217,0.01080622093981055
classdrop,cifar-k-of-10,5m,untrained ResNet-18 (64 ch),s0,resnet18-random-s0,224,0,C2ST,2000,10.0,500,0.05,0.03409350665098192,0.07276865002683111,0.5007940000000001,0.01097709269342297
classdrop,cifar-k-of-10,5m,untrained ResNet-18 (64 ch),s1,resnet18-random-s1,224,1,C2ST,2000,9.0,500,0.15,0.12137548023138253,0.1839617527402498,0.507124,0.01128847305883307
classdrop,cifar-k-of-10,5m,untrained ResNet-18 (64 ch),s1,resnet18-random-s1,224,1,C2ST,2000,10.0,500,0.036,0.022890872735181415,0.05618477326149691,0.49888699999999997,0.011084481539521816
classdrop,cifar-k-of-10,5m,untrained ResNet-18 (64 ch),s2,resnet18-random-s2,224,2,C2ST,2000,9.0,500,0.17,0.13961985448969885,0.2054123937406974,0.508103,0.011445081520024223
classdrop,cifar-k-of-10,5m,untrained ResNet-18 (64 ch),s2,resnet18-random-s2,224,2,C2ST,2000,10.0,500,0.05,0.03409350665098192,0.07276865002683111,0.500363,0.010824542992662554
classdrop,cifar-k-of-10,6,ImageNet ResNet-18 (512),imagenet,resnet18-imagenet,224,-1,C2ST,2000,9.0,500,0.424,0.38142335182762455,0.46773559018907274,0.51577,0.011773194129037375
classdrop,cifar-k-of-10,6,ImageNet ResNet-18 (512),imagenet,resnet18-imagenet,224,-1,C2ST,2000,10.0,500,0.046,0.030844883399787512,0.06807827022627275,0.500298,0.010723348171163704
classdrop,cifar-k-of-10,6m,ImageNet ResNet-18 (64 ch),sub0,resnet18-imagenet,224,0,C2ST,2000,9.0,500,0.554,0.5101821562121956,0.5969943849864668,0.520104,0.011899125346007589
classdrop,cifar-k-of-10,6m,ImageNet ResNet-18 (64 ch),sub0,resnet18-imagenet,224,0,C2ST,2000,10.0,500,0.06,0.042348086000950205,0.08436157830624476,0.500192,0.011297527871176063
classdrop,cifar-k-of-10,6m,ImageNet ResNet-18 (64 ch),sub1,resnet18-imagenet,224,1,C2ST,2000,9.0,500,0.496,0.4523723541138067,0.5396886428344405,0.5187520000000001,0.011635140566404868
classdrop,cifar-k-of-10,6m,ImageNet ResNet-18 (64 ch),sub1,resnet18-imagenet,224,1,C2ST,2000,10.0,500,0.04,0.026040593951356387,0.06097405509707471,0.499959,0.010501657916729147
classdrop,cifar-k-of-10,6m,ImageNet ResNet-18 (64 ch),sub2,resnet18-imagenet,224,2,C2ST,2000,9.0,500,0.542,0.4981733601090301,0.5851861719343742,0.520621,0.012233636376809642
classdrop,cifar-k-of-10,6m,ImageNet ResNet-18 (64 ch),sub2,resnet18-imagenet,224,2,C2ST,2000,10.0,500,0.042,0.027632099334746148,0.06335205123956134,0.500716,0.010986097760351487
classdrop,cifar-k-of-10,ref,JPEG bytes (scalar KS),jpeg,jpeg_bytes,256,-1,KS,2000,9.0,500,0.294,0.2557578175953935,0.3353835252393387,0.03659400000000001,0.01255420901530638
classdrop,cifar-k-of-10,ref,JPEG bytes (scalar KS),jpeg,jpeg_bytes,256,-1,KS,2000,10.0,500,0.04,0.026040593951356387,0.06097405509707471,0.027143,0.008425796757577292
