part,comparison,rung,rung_name,member,scorer,im_size,subset,test,n,k_classes,repeats,detect,detect_lo,detect_hi,effect_mean,effect_sd
null_redrawn,cifar10-vs-cifar10,5,untrained ResNet-18 (512),s0,resnet18-random-s0,224,-1,C2ST,1000,,1000,0.04,0.0295108092739094,0.0540099374255698,0.499478,0.0153860168984698
null_redrawn,cifar10-vs-cifar10,5,untrained ResNet-18 (512),s1,resnet18-random-s1,224,-1,C2ST,1000,,1000,0.043,0.032078481088301,0.0574193042196599,0.499366,0.0154800531006841
null_redrawn,cifar10-vs-cifar10,5,untrained ResNet-18 (512),s2,resnet18-random-s2,224,-1,C2ST,1000,,1000,0.053,0.0407463084223393,0.0686749389138938,0.5001089999999999,0.0161265346246489
null_redrawn,cifar10-vs-cifar10,5m,untrained ResNet-18 (64 ch),s0,resnet18-random-s0,224,0,C2ST,1000,,1000,0.046,0.034662312804573,0.0608125111118695,0.500077,0.0152669273594918
null_redrawn,cifar10-vs-cifar10,5m,untrained ResNet-18 (64 ch),s1,resnet18-random-s1,224,1,C2ST,1000,,1000,0.062,0.0486639632610146,0.0786883999006634,0.500691,0.0161539939024378
null_redrawn,cifar10-vs-cifar10,5m,untrained ResNet-18 (64 ch),s2,resnet18-random-s2,224,2,C2ST,1000,,1000,0.054,0.0416211145851398,0.0697924789539205,0.5002920000000001,0.0158910898304679
null_redrawn,cifar10-vs-cifar10,6,ImageNet ResNet-18 (512),imagenet,resnet18-imagenet,224,-1,C2ST,1000,,1000,0.04,0.0295108092739094,0.0540099374255698,0.5003350000000001,0.0154174179096241
null_redrawn,cifar10-vs-cifar10,6m,ImageNet ResNet-18 (64 ch),sub0,resnet18-imagenet,224,0,C2ST,1000,,1000,0.051,0.0390007506426279,0.0664358042879507,0.5000809999999999,0.0159870709950259
null_redrawn,cifar10-vs-cifar10,6m,ImageNet ResNet-18 (64 ch),sub1,resnet18-imagenet,224,1,C2ST,1000,,1000,0.058,0.0451330700715937,0.0742499082787754,0.500227,0.0162901034680569
null_redrawn,cifar10-vs-cifar10,6m,ImageNet ResNet-18 (64 ch),sub2,resnet18-imagenet,224,2,C2ST,1000,,1000,0.054,0.0416211145851398,0.0697924789539205,0.500664,0.0165336960175273
null_redrawn,cifar10-vs-cifar10,ref,JPEG bytes (scalar KS),jpeg,jpeg_bytes,256,-1,KS,1000,,1000,0.063,0.049549444227037,0.0797952651374683,0.038495,0.0124292387136139
primary,cifar10-vs-cifar100,1,colour moments,colour,colour-moments,32,-1,C2ST,100,,200,0.085,0.05374529946985246,0.13189688544235392,0.5124500000000001,0.05214880152026507
primary,cifar10-vs-cifar100,1,colour moments,colour,colour-moments,32,-1,C2ST,250,,200,0.17,0.12427835351105657,0.22816001039503528,0.51846,0.03552278705282006
primary,cifar10-vs-cifar100,1,colour moments,colour,colour-moments,32,-1,C2ST,500,,200,0.29,0.2315392689125782,0.3563760535731166,0.522,0.025798449565816946
primary,cifar10-vs-cifar100,1,colour moments,colour,colour-moments,32,-1,C2ST,1000,,200,0.525,0.45597270710507,0.5930849925990139,0.52798,0.01867617733905952
