scorer,contaminant,n,fraction,n_contaminating,repeats,im_size,detect,detect_lo,detect_hi,KS_mean
entropy-2-mse,uniform,4000,0.1,400,500,256,0.95,0.9272313499731688,0.965906493349018,0.0396645
entropy-2-mse,uniform,4000,0.2,800,500,256,1.0,0.9923753814690964,0.9999999999999999,0.06684749999999999
entropy-2-mse,uniform,4000,0.5,2000,500,256,1.0,0.9923753814690964,0.9999999999999999,0.15486399999999997
entropy-2-mse,uniform,4000,1.0,4000,500,256,1.0,0.9923753814690964,0.9999999999999999,0.30853099999999994
entropy-2-mse,dtd,100,0.0,0,500,256,0.034,0.02133433944461342,0.053771805026188516,0.11716000000000001
entropy-2-mse,dtd,100,0.005,0,500,256,0.044,0.029233737680341678,0.06571991441984218,0.11684000000000001
entropy-2-mse,dtd,100,0.01,1,500,256,0.05,0.03409350665098192,0.07276865002683111,0.11996000000000001
entropy-2-mse,dtd,100,0.02,2,500,256,0.036,0.022890872735181415,0.05618477326149691,0.11726000000000002
entropy-2-mse,dtd,100,0.05,5,500,256,0.042,0.027632099334746148,0.06335205123956134,0.11778
entropy-2-mse,dtd,100,0.1,10,500,256,0.048,0.03246497509125218,0.07042768006068446,0.11854000000000002
entropy-2-mse,dtd,100,0.2,20,500,256,0.026,0.0152562373229252,0.04397190104437119,0.11886
entropy-2-mse,dtd,100,0.5,50,500,256,0.04,0.026040593951356387,0.06097405509707471,0.11852000000000001
entropy-2-mse,dtd,100,1.0,100,500,256,0.036,0.022890872735181415,0.05618477326149691,0.12062
entropy-2-mse,dtd,250,0.0,0,500,256,0.034,0.02133433944461342,0.053771805026188516,0.072896
entropy-2-mse,dtd,250,0.005,1,500,256,0.042,0.027632099334746148,0.06335205123956134,0.07628
entropy-2-mse,dtd,250,0.01,2,500,256,0.03,0.018263049234083534,0.04890409218496562,0.07437600000000001
entropy-2-mse,dtd,250,0.02,5,500,256,0.04,0.026040593951356387,0.06097405509707471,0.076184
entropy-2-mse,dtd,250,0.05,12,500,256,0.048,0.03246497509125218,0.07042768006068446,0.075512
entropy-2-mse,dtd,250,0.1,25,500,256,0.036,0.022890872735181415,0.05618477326149691,0.07392800000000001
entropy-2-mse,dtd,250,0.2,50,500,256,0.042,0.027632099334746148,0.06335205123956134,0.074536
entropy-2-mse,dtd,250,0.5,125,500,256,0.054,0.03737409848513375,0.07742706124443205,0.078616
entropy-2-mse,dtd,250,1.0,250,500,256,0.064,0.045695733565557124,0.08895293379339062,0.08242400000000001
entropy-2-mse,dtd,500,0.0,0,500,256,0.04,0.026040593951356387,0.06097405509707471,0.052972000000000005
entropy-2-mse,dtd,500,0.005,2,500,256,0.042,0.027632099334746148,0.06335205123956134,0.053416000000000005
entropy-2-mse,dtd,500,0.01,5,500,256,0.07,0.05075944317125315,0.09579772876532376,0.05308
entropy-2-mse,dtd,500,0.02,10,500,256,0.044,0.029233737680341678,0.06571991441984218,0.052816
entropy-2-mse,dtd,500,0.05,25,500,256,0.034,0.02133433944461342,0.053771805026188516,0.053028000000000006
entropy-2-mse,dtd,500,0.1,50,500,256,0.06,0.042348086000950205,0.08436157830624476,0.054464000000000005
entropy-2-mse,dtd,500,0.2,100,500,256,0.056,0.03902536261505807,0.07974529864038413,0.05395200000000001
entropy-2-mse,dtd,500,0.5,250,500,256,0.062,0.04401893261361028,0.08666023321946106,0.055964
entropy-2-mse,dtd,500,1.0,500,500,256,0.144,0.11593760751948218,0.177491120874521,0.06597599999999999
entropy-2-mse,dtd,1000,0.0,0,500,256,0.046,0.030844883399787512,0.06807827022627275,0.037826
entropy-2-mse,dtd,1000,0.005,5,500,256,0.066,0.04737823802541255,0.09123993085941157,0.037664
entropy-2-mse,dtd,1000,0.01,10,500,256,0.046,0.030844883399787512,0.06807827022627275,0.038194000000000006
entropy-2-mse,dtd,1000,0.02,20,500,256,0.054,0.03737409848513375,0.07742706124443205,0.03830200000000001
entropy-2-mse,dtd,1000,0.05,50,500,256,0.066,0.04737823802541255,0.09123993085941157,0.038608
entropy-2-mse,dtd,1000,0.1,100,500,256,0.066,0.04737823802541255,0.09123993085941157,0.039004000000000004
entropy-2-mse,dtd,1000,0.2,200,500,256,0.072,0.05245772605354006,0.09806894740891321,0.039618
entropy-2-mse,dtd,1000,0.5,500,500,256,0.096,0.07317313790557156,0.12498755386739835,0.04292800000000001
entropy-2-mse,dtd,1000,1.0,1000,500,256,0.322,0.28253539670832967,0.3641789674886719,0.055212000000000004
entropy-2-mse,dtd,2000,0.0,0,500,256,0.046,0.030844883399787512,0.06807827022627275,0.026802
entropy-2-mse,dtd,2000,0.005,10,500,256,0.05,0.03409350665098192,0.07276865002683111,0.026980000000000004
entropy-2-mse,dtd,2000,0.01,20,500,256,0.062,0.04401893261361028,0.08666023321946106,0.027800000000000005
entropy-2-mse,dtd,2000,0.02,40,500,256,0.068,0.04906621332682857,0.09352145708387197,0.027597
entropy-2-mse,dtd,2000,0.05,100,500,256,0.062,0.04401893261361028,0.08666023321946106,0.027642000000000003
entropy-2-mse,dtd,2000,0.1,200,500,256,0.058,0.040683464783922846,0.08205669799739573,0.02807
entropy-2-mse,dtd,2000,0.2,400,500,256,0.058,0.040683464783922846,0.08205669799739573,0.028875
entropy-2-mse,dtd,2000,0.5,1000,500,256,0.186,0.15433345489426237,0.22245480554314495,0.03431100000000001
entropy-2-mse,dtd,2000,1.0,2000,500,256,0.694,0.6522544304326852,0.7327872175773242,0.047844000000000005
entropy-2-mse,dtd,4000,0.0,0,500,256,0.058,0.040683464783922846,0.08205669799739573,0.019192
entropy-2-mse,dtd,4000,0.005,20,500,256,0.058,0.040683464783922846,0.08205669799739573,0.0194235
entropy-2-mse,dtd,4000,0.01,40,500,256,0.044,0.029233737680341678,0.06571991441984218,0.019289999999999998
entropy-2-mse,dtd,4000,0.02,80,500,256,0.066,0.04737823802541255,0.09123993085941157,0.019959499999999998
entropy-2-mse,dtd,4000,0.05,200,500,256,0.054,0.03737409848513375,0.07742706124443205,0.019559
