scorer,k_classes,n,im_size,subsets,draws,detect,detect_lo,detect_hi,KS_mean,KS_sd,subset_sd,KL_mean
entropy-2-mse,1,2000,256,10,500,0.808,0.7711789076945584,0.8401243272904052,0.079805,0.04056984686931909,0.039445041576857284,0.050202823268093805
entropy-2-mse,2,2000,256,20,500,0.726,0.6852936486809578,0.7632600237430738,0.063712,0.027143840111524382,0.024567335549464865,0.034554481138682425
entropy-2-mse,3,2000,256,20,500,0.552,0.5081789316318008,0.5950281080409854,0.04784,0.01783354703921797,0.014388972166211177,0.030172427479486386
entropy-2-mse,4,2000,256,20,500,0.33,0.2902171971743252,0.372375173126182,0.038816,0.014342738371733622,0.010147779264449932,0.02513586743937772
entropy-2-mse,5,2000,256,20,500,0.444,0.40104004351009104,0.4878139137653702,0.042544,0.015819831351819146,0.011451931889423724,0.026175231346023793
entropy-2-mse,6,2000,256,20,500,0.244,0.20839823999994375,0.2835055646878788,0.03547,0.013577632341465135,0.009775271863227129,0.024240376512787074
entropy-2-mse,7,2000,256,20,500,0.16,0.13047587742957925,0.19470886317143507,0.032075000000000006,0.011597839238409886,0.007129235232477606,0.023034712549181012
entropy-2-mse,8,2000,256,20,500,0.14,0.11232220101564047,0.17316752432660995,0.030836000000000002,0.010730615266609832,0.005624512778899164,0.022301714556441095
entropy-2-mse,9,2000,256,10,500,0.088,0.06620563711739778,0.11607704855206659,0.028593000000000004,0.009573288410990238,0.0033262112079662036,0.02200795338289064
entropy-2-mse,10,2000,256,1,500,0.06,0.042348086000950205,0.08436157830624476,0.027187000000000003,0.008865073660156469,0.0,0.021008667914737957
jpeg_bytes,1,2000,256,10,500,1.0,0.9923753814690964,0.9999999999999999,0.185178,0.09016382487450277,0.0895724632685738,0.16923931446112545
jpeg_bytes,2,2000,256,20,500,0.904,0.8750124461326017,0.9268268620944284,0.104758,0.044464665027412496,0.04294503831643418,0.06711334398519127
jpeg_bytes,3,2000,256,20,500,0.9,0.8705774917999974,0.9233228133752799,0.11555199999999999,0.059847349949684485,0.05856422505250112,0.07767536027824003
jpeg_bytes,4,2000,256,20,500,0.786,0.7479411410548613,0.819697577145462,0.090633,0.05204200045155836,0.050549007616371655,0.05738912677634311
jpeg_bytes,5,2000,256,20,500,0.778,0.7395294756647782,0.8122312364320395,0.072685,0.034266810108324934,0.031946311758949575,0.03981911365110537
jpeg_bytes,6,2000,256,20,500,0.654,0.6112721337613813,0.6943794837311004,0.056926000000000004,0.025415930516115282,0.022509990759660474,0.032184264988740656
jpeg_bytes,7,2000,256,20,500,0.632,0.5888709172413829,0.6731161834664587,0.058516000000000006,0.028024591772227478,0.025152131997109112,0.033306050713817856
jpeg_bytes,8,2000,256,20,500,0.466,0.4226999925744605,0.5098184814856409,0.044706,0.0185525621950177,0.014517612889177064,0.027092568959725376
jpeg_bytes,9,2000,256,10,500,0.314,0.2748671671994545,0.35596919089404155,0.036389,0.012992966520390946,0.006913513506170362,0.024949405691497013
jpeg_bytes,10,2000,256,1,500,0.03,0.018263049234083534,0.04890409218496562,0.026757000000000006,0.007530700565020495,0.0,0.023133947264181397
pixel_std,1,2000,256,10,500,0.992,0.9796126401630988,0.9968847352024922,0.163876,0.0945386937925419,0.0938850130958078,0.13658036189382802
pixel_std,2,2000,256,20,500,0.844,0.8095845658230334,0.8731696966277049,0.107232,0.06290751287405981,0.0617014134035842,0.06835568389383792
pixel_std,3,2000,256,20,500,0.886,0.8551502882823536,0.9109635062117889,0.089471,0.0406359650925138,0.038507282155457304,0.04404781419018142
pixel_std,4,2000,256,20,500,0.868,0.8355045607103054,0.8948837200509497,0.090894,0.04295440331328093,0.041008310426058764,0.04667733779266801
pixel_std,5,2000,256,20,500,0.634,0.5909034766847505,0.6750531255489673,0.058681,0.029175756014197817,0.026984539629202497,0.031241342984411568
pixel_std,6,2000,256,20,500,0.482,0.43850579699662956,0.5257686892704829,0.05006,0.027639019519512628,0.025190736392570977,0.02888130581245607
pixel_std,7,2000,256,20,500,0.558,0.5141907226350576,0.6009248216153577,0.053061,0.025870770746152884,0.023069921954787794,0.029218579824086717
pixel_std,8,2000,256,20,500,0.408,0.3657816336552564,0.4516212961544298,0.042115,0.016243222432756377,0.012140375406057259,0.02455752118622815
pixel_std,9,2000,256,10,500,0.216,0.18216716501825247,0.2541636183073006,0.033082,0.011761771805302124,0.006300739321698685,0.02260469891495299
pixel_std,10,2000,256,1,500,0.038,0.024459922123289107,0.0585852253992656,0.026031,0.007828955166559584,0.0,0.021922715924615033
pixel_entropy,1,2000,256,10,500,0.904,0.8750124461326017,0.9268268620944284,0.184576,0.08313452486181659,0.0824990577158309,0.1401607986284565
pixel_entropy,2,2000,256,20,500,0.976,0.9585225403081018,0.9862188228504781,0.10125899999999999,0.051679884084622325,0.050354587665872114,0.057476049922888905
pixel_entropy,3,2000,256,20,500,0.914,0.8861596159077154,0.9355271999486967,0.098733,0.04908718988697561,0.047414468793818616,0.05091328346588129
pixel_entropy,4,2000,256,20,500,0.67,0.627624826873818,0.709782802825675,0.073434,0.039390095760228866,0.037733470076312885,0.03766590298969345
pixel_entropy,5,2000,256,20,500,0.688,0.646085405329654,0.7270477381027262,0.058888,0.0246674168894921,0.021849610888983816,0.028290586409948554
pixel_entropy,6,2000,256,20,500,0.612,0.5685873695673256,0.6537047158817519,0.06003700000000001,0.030945841901619028,0.028855050355180458,0.0291353153759001
pixel_entropy,7,2000,256,20,500,0.578,0.534276169564903,0.6205343899442761,0.054265,0.026414622370952042,0.023745731300593795,0.026308110820563568
pixel_entropy,8,2000,256,20,500,0.412,0.3696877164049981,0.4556542164564409,0.041581,0.016991525505380616,0.012889408791717329,0.02222732702463562
pixel_entropy,9,2000,256,10,500,0.29,0.2519467539894188,0.3312555857935606,0.035674000000000004,0.012768348522812181,0.0068069100185032564,0.02085829742613487
pixel_entropy,10,2000,256,1,500,0.044,0.029233737680341678,0.06571991441984218,0.026958000000000003,0.008093283388094105,0.0,0.019426561880999244
BRISQUE,2,2000,256,7,175,0.7257142857142858,0.6552971043482827,0.7864345732927136,0.09121142857142857,0.053107931995289806,0.0525731858401957,0.07443137472023785
BRISQUE,3,2000,256,20,500,0.936,0.9110470662066095,0.954304266434443,0.103607,0.04276668155234867,0.04164096313727626,0.07096386435155584
BRISQUE,4,2000,256,20,500,0.764,0.7248548911970089,0.7991193102186741,0.079633,0.0526277000352476,0.05175165167412535,0.049792824964254113
BRISQUE,5,2000,256,20,500,0.732,0.6915155074925284,0.7689466695091324,0.064385,0.03140081647027669,0.029815053161113096,0.038790158056150485
BRISQUE,6,2000,256,20,500,0.564,0.5202088800086124,0.6068151688194319,0.055229,0.03132708187814499,0.029660741376438992,0.03306442058505043
BRISQUE,7,2000,256,20,500,0.69,0.6481408712280013,0.7289617737302553,0.057912000000000005,0.0232247552409062,0.02060740391218651,0.03119909329158625
BRISQUE,8,2000,256,20,500,0.514,0.47025071185469686,0.5575357988264379,0.047046000000000004,0.01992623607207342,0.0171710268766897,0.02803603849333661
BRISQUE,9,2000,256,10,500,0.314,0.2748671671994545,0.35596919089404155,0.037078,0.012656299459162619,0.0071822194341303715,0.023960505717709028
BRISQUE,10,2000,256,1,500,0.044,0.029233737680341678,0.06571991441984218,0.026494,0.00825766092788993,0.0,0.022110555636638253
