comparison,scorer,expected,n_target,n_test,im_size,permutations,seed,secs,KL,KL_p,JS,JS_p,wasserstein,wasserstein_p,KS,KS_p,CVM,CVM_p,AD,AD_p
control-disjoint,entropy-2-mse,accept,4000,4000,256,1000,0,7.0,0.008760065419236754,0.8501498501498501,0.05522806960255632,0.8581418581418582,0.0004969024658203125,0.14585414585414586,0.024,0.19953217025192727,0.24774587500019152,0.19130555854279852,0.6105385954090798,0.1851575793203235
cifar10-vs-cifar100,entropy-2-mse,reject,4000,4000,256,1000,0,6.4,0.013429456145699124,0.07892107892107893,0.06799679432646345,0.09090909090909091,0.0009326782226562503,0.002997002997002997,0.03725,0.0077683853794275485,0.9021794218751893,0.004180506830955499,5.360443417825397,0.002581457167199129
cifar-vs-imagenet64,entropy-2-mse,reject,4000,4000,256,1000,0,7.0,0.044844949932260764,0.000999000999000999,0.12223887376724862,0.000999000999000999,0.003023590087890625,0.000999000999000999,0.119,4.421383572564328e-25,11.743199500000173,7.550570169101434e-10,79.61526211163766,0.001
cifar-vs-dtd,entropy-2-mse,reject,4000,4000,256,1000,0,13.4,0.022969240830220852,0.000999000999000999,0.09200907583418148,0.000999000999000999,0.00132037353515625,0.000999000999000999,0.045,0.0006060334688991277,1.4776850625000861,0.00019410219234872184,12.667930818648935,0.001
cifar-vs-oneclass,entropy-2-mse,reject,4000,4000,256,1000,0,5.9,0.07679857527264469,0.000999000999000999,0.15758287111489727,0.000999000999000999,0.0037951812744140626,0.000999000999000999,0.152,1.0335962225773004e-40,21.16230723437502,2.2483591655131363e-09,136.998893134792,0.001
cifar-vs-uniform,entropy-2-mse,reject,4000,4000,256,1000,0,5.3,1.8632233124182267,0.000999000999000999,0.5765781440242703,0.000999000999000999,0.007380081176757812,0.000999000999000999,0.312,2.3073771920279447e-172,75.87869350000005,1.7002538377219878e-08,679.1414728632079,0.001
control-disjoint,jpeg_bytes,accept,4000,4000,256,1000,0,10.7,0.008327692520912,0.913086913086913,0.05547163137266294,0.8891108891108891,0.00021376037597656226,0.906093906093906,0.02125,0.3271132241358086,0.10908210937509466,0.5422700650799384,-0.6613930432733621,0.25
cifar10-vs-cifar100,jpeg_bytes,reject,4000,4000,256,1000,0,10.9,0.018255915059422725,0.004995004995004995,0.0838568572425667,0.000999000999000999,0.0007473869323730468,0.006993006993006993,0.028,0.08690390956610039,0.3654563750001216,0.08931216474317627,3.7462133759812573,0.010057788436315458
cifar-vs-imagenet64,jpeg_bytes,reject,4000,4000,256,1000,0,11.0,1.1894811692506193,0.000999000999000999,0.6706753297988491,0.000999000999000999,0.0329888916015625,0.000999000999000999,0.67375,0.0,380.56122942187517,1.0631599078880782e-07,2385.9794723066725,0.001
cifar-vs-dtd,jpeg_bytes,reject,4000,4000,256,1000,0,18.4,3.6536449528756165,0.000999000999000999,0.9313834986883976,0.000999000999000999,0.14366616058349607,0.000999000999000999,0.95775,0.0,640.15624328125,1.7402396634835782e-07,3907.6635849921176,0.001
cifar-vs-oneclass,jpeg_bytes,reject,4000,4000,256,1000,0,10.7,0.28000598074604377,0.000999000999000999,0.2749939738965039,0.000999000999000999,0.006410820007324219,0.000999000999000999,0.2515,1.7623793295848976e-111,64.975484859375,2.553163813701076e-08,445.9867643732823,0.001
cifar-vs-uniform,jpeg_bytes,reject,4000,4000,256,1000,0,10.7,6.218829567782637,0.000999000999000999,0.9907861975482007,0.000999000999000999,0.10760502243041992,0.000999000999000999,1.0,0.0,666.6707371406251,1.9206842905017396e-07,4064.375760944671,0.001
control-disjoint,pixel_std,accept,4000,4000,256,1000,0,4.3,0.01359281811613833,0.13886113886113885,0.07125794647159564,0.08091908091908091,0.001813180180266499,0.24775224775224775,0.02275,0.25182308796142594,0.20544637500006502,0.257197985813969,0.2761846323651037,0.25
cifar10-vs-cifar100,pixel_std,reject,4000,4000,256,1000,0,5.1,0.017273711249983774,0.012987012987012988,0.08154643123803605,0.003996003996003996,0.006004542053677141,0.000999000999000999,0.05125,5.4550047254322394e-05,1.9916453906250808,1.333880771492435e-05,15.274006649765209,0.001
cifar-vs-imagenet64,pixel_std,reject,4000,4000,256,1000,0,4.5,0.035858016086354944,0.000999000999000999,0.11605703089108413,0.000999000999000999,0.012760319564491512,0.000999000999000999,0.08675,1.6329854590762004e-13,8.505354249999982,8.911404947298251e-11,60.579198709044675,0.001
cifar-vs-dtd,pixel_std,reject,4000,4000,256,1000,0,11.4,0.09657435034338724,0.000999000999000999,0.201220101453264,0.000999000999000999,0.017915000907145442,0.000999000999000999,0.12775,7.518444011589422e-29,12.419449562500176,2.009710065031811e-09,107.80475238875427,0.001
