comparison,scorer,im_size,expected,n,repeats,reject_rate,reject_lo,reject_hi,KS,KS_sd,KS_p,KS_p_sd,CVM,CVM_sd,CVM_p,CVM_p_sd,AD,AD_sd,AD_p,AD_p_sd,KL,KL_sd,JS,JS_sd,wasserstein,wasserstein_sd,KS_p_median
control-disjoint,entropy-2-mse,32,accept,4000,100,0.02,0.005501852234968185,0.07001316294199365,0.017159999999999998,0.005543974206289203,0.6066512719229549,0.30145535974280785,0.16882894984383484,0.1281986380056139,0.4820047459089376,0.29708702122988395,0.011609088711156058,0.9062381616296291,0.2148251965598645,0.06403130301002487,0.011278154715762772,0.0024240524861414816,0.06302290319965564,0.006808192261275654,0.0008843554687499996,0.0002816214648963329,0.6381981001178448
cifar10-vs-cifar100,entropy-2-mse,32,reject,4000,100,0.22,0.15001174503655804,0.3107053471500031,0.0242925,0.008279798835116708,0.31990552403967987,0.30620202702841126,0.4444268162500816,0.35571803503895055,0.19809165180233887,0.2361425545504775,2.044202812865155,2.4270709037640126,0.11091603111717292,0.09779894708330632,0.012216254751901318,0.002580803923062622,0.06465176382238123,0.006485748044444121,0.0013640039062499994,0.0004712743838854562,0.185644521009531
cifar-vs-imagenet64,entropy-2-mse,32,reject,4000,100,0.87,0.7901947810519012,0.9224290614158575,0.0403875,0.008666701722685511,0.02486902598629277,0.05928959540901854,1.403357410625074,0.6218782732781065,0.0065771536988863295,0.019285595945943715,8.837594487545646,4.3710706996169275,0.005343771258232912,0.01569456241951408,0.014965957379782733,0.003279794902641876,0.07141231245393222,0.0077570617081869275,0.0023834375,0.0005381684785262852,0.0026055501044302946
cifar-vs-dtd,entropy-2-mse,32,reject,4000,100,0.51,0.4134784047743415,0.6057816990761385,0.0304725,0.005130532988881371,0.08379101043729159,0.10184419795023829,0.6196746673438384,0.21170892031627092,0.038311932253542486,0.04878737633499696,5.582386498253292,2.073762992311204,0.007330492290290816,0.013131000104909906,0.01833079760401757,0.0038422104354827705,0.07721185773035649,0.007141257302431624,0.002086298828125,0.00033640217156247947,0.048413395911248366
cifar-vs-oneclass,entropy-2-mse,32,reject,3000,100,0.01,0.0017673865655472645,0.0544875247609346,0.01857666666666667,0.004730951278548533,0.6748427470422953,0.23721932984010907,0.13916400277774074,0.09550659991095346,0.529442151847644,0.2569476551697336,0.0744035799713776,0.7571807362675747,0.21645279549233515,0.06104428458513757,0.014369115297544382,0.0024532006641298267,0.07240030497307771,0.006388325281469502,0.0010638281250000005,0.0003003890717522337,0.7053130692122547
cifar-vs-uniform,entropy-2-mse,32,reject,4000,100,0.72,0.6251178763865427,0.7986044083240164,0.03605,0.00866970299375936,0.06271609229904035,0.14078150231351108,1.0801425204688235,0.5536621066560029,0.03215370576485724,0.1090092340965612,6.44187486805933,3.790313211030113,0.020222428580069028,0.04961747613328308,0.013164549774514507,0.00255529929428228,0.06898282660265505,0.006772082210397181,0.00216056640625,0.0005609247858418311,0.010424491081436092
control-disjoint,jpeg_bytes,32,accept,4000,100,0.02,0.005501852234968185,0.07001316294199365,0.0175925,0.005281057540871903,0.5897087442810862,0.28986316595801453,0.14387538640632783,0.12453416045472085,0.5447290710095731,0.27388562216812684,-0.17114445068956272,0.8570704328799964,0.22846835814799818,0.057227583933580094,0.011430714034545144,0.002430189403646106,0.06295495459045405,0.006436265639370256,0.0013997192382812493,0.0004641105837266662,0.6381981001178448
cifar10-vs-cifar100,jpeg_bytes,32,reject,4000,100,0.36,0.2727107459049014,0.45764780018837914,0.029007500000000006,0.008131762954611994,0.156318381180037,0.1719691390260319,0.5659572045313235,0.3924576254473009,0.09237181613138866,0.11676891548470024,4.085455302207192,2.8858621670255515,0.036360130964279785,0.05693417362024384,0.016046957427635494,0.0031949254994787864,0.07752701744550927,0.00809070886392358,0.00352810791015625,0.0008912211478587079,0.09188571784223576
cifar-vs-imagenet64,jpeg_bytes,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.09222750000000002,0.008947003339107458,2.689237189668157e-10,2.3937426303372456e-09,8.587444903750077,1.4611393282833052,4.98463439413399e-10,5.684454528480498e-10,58.74870534236363,9.797069478593027,0.0010000000000000002,2.168404344971009e-19,0.03538231292931971,0.004371471372062455,0.11083479714739734,0.006715937196515507,0.01098640625,0.0009438026248583755,2.6175680539668723e-15
cifar-vs-dtd,jpeg_bytes,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.30454000000000003,0.00665870858350176,1.593014790689635e-147,1.569593127160287e-146,81.77211975296883,3.592364889121025,2.4173148743811267e-08,8.845868234422034e-09,569.1089821669301,22.1997831456918,0.0010000000000000002,2.168404344971009e-19,0.3317183789486517,0.01067129107657273,0.3634850029633552,0.005654561290663904,0.04875451171875,0.0009350750826456988,3.53858346973659e-164
