comparison,scorer,im_size,expected,n,repeats,reject_rate,reject_lo,reject_hi,KS,KS_sd,KS_p,KS_p_sd,CVM,CVM_sd,CVM_p,CVM_p_sd,AD,AD_sd,AD_p,AD_p_sd,KL,KL_sd,JS,JS_sd,wasserstein,wasserstein_sd,KS_p_median
cifar-vs-oneclass,jpeg_bytes,32,reject,3000,100,1.0,0.9630051925239981,0.9999999999999999,0.28463,0.008041958716631164,1.9432098668023454e-89,1.933237887368613e-88,65.17239169416663,3.514288266518875,2.144549863691836e-08,7.753850347771348e-09,445.98624734116726,22.804288631495815,0.0010000000000000002,2.168404344971009e-19,0.33142656356666406,0.016039242743949533,0.3073864397396379,0.006861422961664563,0.03307012369791666,0.0009110593553150818,1.8441707176430497e-107
cifar-vs-uniform,jpeg_bytes,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,0.0,0.0,667.0347558601563,0.010235060730686968,1.9336918251289247e-07,3.6677809027841334e-11,4121.124060165672,0.7564594178260077,0.0010000000000000002,2.168404344971009e-19,5.995762517301301,0.020504458617212732,0.9893020917486544,0.00010484697104259558,0.3117766723632813,0.0008072336424104753,0.0
control-disjoint,pixel_std,32,accept,4000,100,0.02,0.005501852234968185,0.07001316294199365,0.0189375,0.005170635236602946,0.5174728493980683,0.26960047829693723,0.1492546545313371,0.11943482590821619,0.5173699568778082,0.2674018912920704,-0.12585956522150718,0.8407343638368531,0.22574735318665964,0.05677353479301288,0.011253059647181813,0.0023189732751569226,0.06305404510976817,0.0062330230525010945,0.0014933660885784771,0.0004988976780557324,0.5092726765851745
cifar10-vs-cifar100,pixel_std,32,reject,4000,100,0.95,0.8882480347279118,0.9784566385436864,0.04469249999999999,0.008163091862156153,0.007214910913276946,0.017431149354007514,1.4849495054688235,0.6428301475496944,0.006054638721672992,0.016961547914195022,10.755132892865818,4.466105616158651,0.0022809287118713394,0.0045597301453009454,0.01711252593629249,0.0027162746350285036,0.08043167580291775,0.0066348584155782675,0.0054189690999547025,0.0010877102726169158,0.0009878400517656434
cifar-vs-imagenet64,pixel_std,32,reject,4000,100,0.98,0.9299868370580063,0.9944981477650318,0.047815,0.010292753518859762,0.005771280163717297,0.013377225172944616,1.803417277968829,0.8452131004384366,0.0028106249472516043,0.007914716805762525,11.390961469680217,5.517858883922664,0.0023868951150672786,0.004882157093304258,0.017487205382808367,0.0032322968958531555,0.08078234284975519,0.007477235464160416,0.005322362183160148,0.0011477675350643674,0.00013517401172912096
cifar-vs-dtd,pixel_std,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.39056250000000015,0.006986985669800682,5.0610059893773005e-250,0.0,152.58730309000006,5.126819052917532,4.94699446751401e-08,1.2392402152425394e-08,1017.7812020830592,31.950668592467515,0.0010000000000000002,2.168404344971009e-19,0.43749422763247325,0.013807168836501597,0.41508119441651153,0.006090610505376545,0.05867601728218316,0.0011583896636064553,4.0926492315182004e-272
cifar-vs-oneclass,pixel_std,32,reject,3000,100,1.0,0.9630051925239981,0.9999999999999999,0.23291,0.007721521870719527,6.618209386548356e-63,6.311103776990202e-62,35.952449194444405,2.641665050324307,8.435191461986236e-09,4.033951474486483e-09,259.9145159536365,17.173666893852623,0.0010000000000000002,2.168404344971009e-19,0.27211226909955966,0.015053492591647274,0.2668875038861391,0.00658186371573908,0.025121736765007178,0.0009612857541490547,4.2578078343472247e-72
cifar-vs-uniform,pixel_std,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.8946625,0.004704303216205355,0.0,0.0,504.2884704042189,7.353588575721102,1.3554355329237212e-07,1.774162560073466e-08,3028.5711790318123,43.13232001664026,0.0010000000000000002,2.168404344971009e-19,5.155852043936147,0.04458976367151303,0.9232559114928159,0.0037256930047969788,0.081515997194089,0.0008298637519384417,0.0
control-disjoint,pixel_entropy,32,accept,4000,100,0.03,0.010254338223414816,0.08452078080402699,0.018135,0.005303939573562278,0.5674241483396781,0.2787132562503147,0.13992255000008527,0.12334392799403611,0.5566151131048267,0.2746778673038613,-0.17983291600809173,0.8065501863152758,0.22982151813458543,0.05358686305100036,0.010193334732541477,0.0021042641900760875,0.05904709949566714,0.005852669588526413,0.01575464738279581,0.005426952263758459,0.6099808127636722
cifar10-vs-cifar100,pixel_entropy,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.066145,0.009888009152503855,0.00013130228818112658,0.0010515779944836516,4.224035517343827,1.2635106402749103,9.480753715751521e-06,7.298700643066942e-05,29.105546383335394,8.581888407449316,0.0010000000000000002,2.168404344971009e-19,0.021383096910333476,0.003881534472064408,0.08953831225017897,0.00833954090490109,0.09646912655591965,0.013879629287376813,7.953450708579859e-08
cifar-vs-imagenet64,pixel_entropy,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.0578125,0.009456107484054949,0.00030343060100165213,0.000983870116029125,2.783459250156336,0.9430287765566164,0.00015707464986801644,0.0010875961022887932,18.79635296159543,6.474062941154764,0.0010675019575209594,0.0006716359971345897,0.01738678405910113,0.0033837506004870685,0.07889049770647559,0.007685193721815724,0.06249521825894713,0.01298558195119946,3.0234470015634534e-06
cifar-vs-dtd,pixel_entropy,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.3882124999999999,0.007250290942438111,5.663064978189191e-247,0.0,153.34837285125008,4.7856642539915395,4.771328385833051e-08,1.22850592205843e-08,1001.9823490280411,30.638298043804053,0.0010000000000000002,2.168404344971009e-19,0.42138580938326897,0.014251227077009992,0.3826110056926285,0.0062345631797158544,0.6530110652370006,0.011655507628028723,1.0858867404249236e-268
cifar-vs-oneclass,pixel_entropy,32,reject,3000,100,1.0,0.9630051925239981,0.9999999999999999,0.25914666666666664,0.007798051038560854,1.1455309386857676e-75,1.1397847252434913e-74,45.90423436194441,2.7134047853752787,1.2285332022798911e-08,6.23847951623815e-09,291.23016875128627,17.11115720292197,0.0010000000000000002,2.168404344971009e-19,0.1726251320381752,0.010262853363205416,0.24164513102106855,0.00709134112132311,0.2374935446778933,0.008841529614500755,1.8746627675718262e-88
cifar-vs-uniform,pixel_entropy,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.6252850000000001,0.0068220249926249825,0.0,0.0,219.42229194703134,5.321806445967013,6.974890937150313e-08,1.4883111242323938e-08,1497.3233169301823,26.52443319381996,0.0010000000000000002,2.168404344971009e-19,4.020486560774583,0.10957239209239807,0.7621021438236777,0.016134690822806726,0.41633501237005,0.007740519809323634,0.0
control-disjoint,BRISQUE,32,accept,4000,100,0.03,0.010254338223414816,0.08452078080402699,0.018945,0.00530972927746792,0.5186742450402877,0.28025927735206235,0.1681258235938344,0.12405670944118154,0.47613838701933203,0.28753029306196176,0.12516474333071476,0.9766987943809468,0.20927072215114426,0.07248454147324276,0.012274016162170004,0.0021269858481430025,0.06496415649629632,0.00552433461837555,1.2755365507167573,0.5784079103352905,0.5181341116358225
cifar10-vs-cifar100,BRISQUE,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.046535,0.007755483543919103,0.002693402929600486,0.005520399629015666,1.3072233950000804,0.5070742495064691,0.0035389770463130164,0.006002509202519402,7.394181189598552,3.352757037288234,0.004609681713479586,0.007906778552039657,0.01778758877570944,0.0034855383599301268,0.07910517801614021,0.007681792896276969,2.3701300791009112,0.5817769587701984,0.00041218255971647334
cifar-vs-imagenet64,BRISQUE,32,reject,4000,100,0.93,0.8625032899347025,0.965681175635936,0.039830000000000004,0.0075732984887696055,0.018809000925474117,0.04207359953158217,0.9745342037500745,0.37062854280778423,0.011882754312887432,0.02682122688237595,6.928316845822232,2.7581808549345768,0.006904665578872711,0.025761163921796514,0.020333998683952265,0.00399898083625689,0.08422873827680923,0.00833918095559911,3.4805092902990755,0.7200876269716717,0.003595839895925661
cifar-vs-dtd,BRISQUE,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.1284925,0.007823957997714459,3.6759827635677997e-23,2.429623606064525e-22,10.91668869531257,1.4279722973602098,1.0123649896165432e-09,1.0222045320898403e-09,63.216727567975425,8.693877900241963,0.0010000000000000002,2.168404344971009e-19,0.06542755351408729,0.0050943354815767465,0.15866363722036703,0.006158970944727721,7.9888929979747205,0.7629944818244028,1.954860971168277e-29
cifar-vs-oneclass,BRISQUE,32,reject,1014,100,1.0,0.9630051925239981,0.9999999999999999,0.11490138067061148,0.013937458501311525,8.619371070861336e-05,0.0003330705848895019,2.8507197606292722,0.7126988915905065,9.4784595769426e-06,3.7565063289581255e-05,19.796450257348145,5.034520534530796,0.0010000000000000002,2.168404344971009e-19,0.09068408789436971,0.012543949772164388,0.17174983708640165,0.01177825394441442,11.311678822818285,1.7523068881008776,3.3734236481251457e-06
cifar-vs-uniform,BRISQUE,32,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.6978375,0.006077455779353729,0.0,0.0,262.45219863921886,5.892665423065412,8.252101875827477e-08,1.6538519125725996e-08,1690.4517849272481,29.895563388296228,0.0010000000000000002,2.168404344971009e-19,4.102655118176775,0.03840492020201278,0.8417155297325479,0.004562495461822866,55.12874093895723,0.45061611771902227,0.0
control-disjoint,entropy-2-mse,64,accept,4000,100,0.03,0.010254338223414816,0.08452078080402699,0.0172725,0.006208672865435898,0.6266569591827904,0.3086322496273318,0.17636031812509145,0.18285100886114586,0.5165360187507877,0.2997432975418391,0.05162499682216331,1.232369498798943,0.21307398095302651,0.07356351139226536,0.011415169254635706,0.0024017704923502223,0.06313322099273559,0.0066433795824483695,0.0005033740234374999,0.0002016793093843109,0.704029956889007
cifar10-vs-cifar100,entropy-2-mse,64,reject,4000,100,0.7,0.6041496156718804,0.7810524613377188,0.0343575,0.008916365220761205,0.08203509974112042,0.17075378816727954,0.9151878103125773,0.5267624083686336,0.05148758748094068,0.13858114640456362,5.195056266798601,3.5722197362947337,0.03545727904658382,0.06928113669705752,0.01324398179132962,0.002442207458331615,0.0683215363343082,0.00622903540073969,0.0011626757812499998,0.0003492421014475598,0.014382267948983696
cifar-vs-imagenet64,entropy-2-mse,64,reject,4000,100,0.82,0.7333246397578691,0.8829986834574896,0.03886,0.009191457990982714,0.030618529717781867,0.059920793885379575,1.1645919567188252,0.6384719916968649,0.017234992066053657,0.03858834544907001,7.453411717439751,4.256660594824701,0.010057542004474462,0.026120310709341687,0.015033816226058072,0.0031207299196027985,0.07139425451825011,0.007065085477808128,0.00130226806640625,0.00033071094970494035,0.007488536357621532
cifar-vs-dtd,entropy-2-mse,64,reject,4000,100,0.99,0.9455124752390653,0.9982326134344526,0.050100000000000006,0.008066287869894056,0.002286242001594338,0.011524769672855446,2.0887168853125786,0.7002649586299998,0.0006446868202639444,0.003289802296059104,13.47917193327682,4.621515042516972,0.0013084536831998834,0.0019383896255976629,0.01693387289915058,0.0027252763761854886,0.07989634836690115,0.006336540015709069,0.0019292187499999997,0.0002944611841537626,0.0001345603349332943
cifar-vs-oneclass,entropy-2-mse,64,reject,3000,100,0.9,0.8256326956323347,0.9447714583868639,0.04442999999999999,0.007898423893410634,0.02053624267550823,0.03960186373767087,1.3214622297221876,0.4951240321347067,0.004050420849900174,0.009606187634692618,8.246623898783339,3.4506619394354336,0.003283627864994026,0.00642562457569493,0.01995524251704931,0.0035983055650730673,0.0841966179266407,0.007629934278859046,0.001696728515625,0.0003187048932075736,0.005493797231670203
cifar-vs-uniform,entropy-2-mse,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.0780025,0.008285868617712931,1.6754388755003102e-08,7.720660653145011e-08,4.849378278906329,1.1830528103004778,5.085459536813275e-09,1.7468133373042496e-08,34.876462552704936,8.280685204396047,0.0010000000000000002,2.168404344971009e-19,0.03253176042242159,0.004860018944569476,0.10339005221050758,0.007188381746912549,0.0025345971679687496,0.00031177991739228967,5.725679434443985e-11
control-disjoint,jpeg_bytes,64,accept,4000,100,0.01,0.0017673865655472645,0.0544875247609346,0.0183325,0.004761703345442679,0.5420006650571737,0.27144805670757816,0.1569865882813224,0.10604768620089539,0.48278506095844576,0.27217029764018014,-0.052120363106458054,0.7667374258074069,0.2233627731705732,0.05717944350612998,0.012002071405878126,0.002674205921402625,0.06422649649228314,0.00680493191985111,0.0008018853759765624,0.00024629436658053083,0.5362233944701613
cifar10-vs-cifar100,jpeg_bytes,64,reject,4000,100,0.56,0.4622792771125631,0.6532813459903167,0.031067499999999998,0.005205988738942872,0.0730653987496903,0.08316092857651304,0.5917657673438202,0.2585221510383868,0.048008014741520194,0.05191119454041504,5.031231334060106,2.047859681810914,0.009661419499375703,0.014632431627045556,0.018235735622708235,0.0033007299084871363,0.08215504313571245,0.00734317716768721,0.002050805053710937,0.0003450203981553305,0.04417301887417281
cifar-vs-imagenet64,jpeg_bytes,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.8018675000000001,0.005496755292897807,0.0,0.0,508.50455651593757,5.82949376373522,1.3653406375158106e-07,1.6899357121020153e-08,3137.2052174095243,35.594509889122314,0.0010000000000000002,2.168404344971009e-19,1.836398695615459,0.03821204034455499,0.7835081377890916,0.004777460400388621,0.10767341857910155,0.0009911650746186195,0.0
cifar-vs-dtd,jpeg_bytes,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.6407275,0.00528229294435665,0.0,0.0,312.67726565765633,4.460415302927285,9.201522640833737e-08,1.5290249766962933e-08,1961.791227635859,26.009177568437792,0.0010000000000000002,2.168404344971009e-19,1.0941686298192936,0.01592925161191079,0.6512281412433565,0.003885989770349541,0.0834948260498047,0.0007203246513247328,0.0
cifar-vs-oneclass,jpeg_bytes,64,reject,3000,100,1.0,0.9630051925239981,0.9999999999999999,0.25524,0.008142901475791317,5.269984175933949e-74,5.225358986150081e-73,51.90128581833329,3.166463582710087,1.4202932610007934e-08,5.754264993391093e-09,351.7290139042567,20.376292116543393,0.0010000000000000002,2.168404344971009e-19,0.2597465811905092,0.014256276092726283,0.27593676692338387,0.006755135156798769,0.015731023763020834,0.000498830739072122,1.5820338989726897e-86
cifar-vs-uniform,jpeg_bytes,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,0.0,0.0,666.7415957064062,0.0018477009031260777,1.9232104812139105e-07,6.590924535828687e-12,4086.201390928454,0.2707799528606834,0.0010000000000000002,2.168404344971009e-19,6.210139136498099,0.016080964917833205,0.9904084826221252,7.290563896911354e-05,0.23632049438476568,0.0004386378698832799,0.0
control-disjoint,pixel_std,64,accept,4000,100,0.03,0.010254338223414816,0.08452078080402699,0.0177875,0.005710557656656659,0.5899645151666152,0.29892278601203376,0.13662234515633145,0.13938538396322744,0.5912462891565265,0.29153789318238266,-0.2309993109101664,0.9194144573620413,0.23051476505874371,0.056860140714319406,0.010967369584677396,0.0022852728425987825,0.06211525220694103,0.0064227419103474355,0.0013836994546838103,0.0005242139543646308,0.6006310549201747
cifar10-vs-cifar100,pixel_std,64,reject,4000,100,0.99,0.9455124752390653,0.9982326134344526,0.048615000000000005,0.00769158793748079,0.002843428589873244,0.014194337421087558,1.8299347060938385,0.6779046340459602,0.002100421428217334,0.01317951297904828,13.177585843719092,4.492888173189439,0.0013150658693902595,0.0026343614454188056,0.01825544722157254,0.0028061797397448836,0.08318667278654905,0.0063648369330960314,0.005909557384829968,0.0009759721417447956,0.00013517401172912096
cifar-vs-imagenet64,pixel_std,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.14984750000000002,0.009710811951119228,3.3886592866253234e-29,3.3299895318139705e-28,24.012365625156335,2.9816317882274914,4.817279359858873e-09,3.301194721631807e-09,161.5383063323122,19.49805666265632,0.0010000000000000002,2.168404344971009e-19,0.07531938786996266,0.008288032724424035,0.164382101101313,0.008782578478292054,0.02012805306840688,0.0012226479336471569,8.271029327700345e-40
cifar-vs-dtd,pixel_std,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.26082249999999996,0.0074743975509735956,6.974819551194761e-104,6.937883158453055e-103,65.94674548093757,3.4851612410993824,2.0390512031065456e-08,8.351453326100434e-09,459.3501931547567,22.249987743565008,0.0010000000000000002,2.168404344971009e-19,0.2203984853733466,0.009486817028993285,0.30029844358970853,0.006378174240195468,0.036132687895605045,0.0009908490812081839,3.1314497341470374e-120
cifar-vs-oneclass,pixel_std,64,reject,3000,100,1.0,0.9630051925239981,0.9999999999999999,0.22045666666666666,0.008407887170191253,1.626249740471405e-54,1.552075452996284e-53,31.517292474722186,2.3962986436313005,6.929660983923114e-09,4.150239475796115e-09,229.58556272695193,15.779830965617853,0.0010000000000000002,2.168404344971009e-19,0.24868830560571542,0.014937471051335562,0.25576074542181226,0.006763162523175938,0.023040748812307905,0.0009370161929252712,3.4599284277050005e-64
cifar-vs-uniform,pixel_std,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.5857525000000001,0.007883645650966314,0.0,0.0,183.0045193090626,4.012854659085855,5.9576058855093097e-08,1.3429799842822006e-08,1356.9609653944854,19.22697332829268,0.0010000000000000002,2.168404344971009e-19,4.608640156106858,0.05782594894048578,0.8654373800386399,0.005244844552608254,0.044810164709128436,0.0005637563674090567,0.0
control-disjoint,pixel_entropy,64,accept,4000,100,0.05,0.02154336145631356,0.11175196527208817,0.018435,0.005467702899755985,0.5554605627944499,0.278227164322776,0.14495110406257936,0.12066332464143316,0.5455066451482511,0.2808313349076392,-0.1635296467301064,0.7937861740884133,0.22649800277655543,0.05810399790661957,0.010448153129819502,0.0021599369047956155,0.059801435442313915,0.006092458105176876,0.016204483989477155,0.005071079394106082,0.6193776728396316
cifar10-vs-cifar100,pixel_entropy,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.06666499999999999,0.009164416238910147,9.584125610114597e-06,5.672325758651547e-05,4.164501900000085,1.1900798459482005,3.371571852328614e-07,1.715683714519479e-06,28.30774570359876,7.98904667052208,0.0010000000000000002,2.168404344971009e-19,0.021637679617059584,0.0038586432694740825,0.08942371381560628,0.008004568980925017,0.09106704159617424,0.013718758506028914,6.11817053383857e-08
cifar-vs-imagenet64,pixel_entropy,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.08441250000000002,0.009802574598032906,1.4090325774118883e-07,1.3708995757380365e-06,6.207320699062587,1.402554001392597,4.62044023041841e-09,4.301944182679683e-08,40.6233954857522,8.78280693728886,0.0010000000000000002,2.168404344971009e-19,0.031207008458674433,0.004615144578150076,0.10744041923639867,0.008043515305654872,0.08715308608457445,0.00838368385758182,5.449246371775917e-13
cifar-vs-dtd,pixel_entropy,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.27990000000000004,0.006882223477917576,2.910869239994095e-125,2.2137903654667437e-124,80.79360009718758,3.6287964253507585,2.4985308322289512e-08,8.789882796799893e-09,533.1366627830397,23.796514950844024,0.0010000000000000002,2.168404344971009e-19,0.21475027050458967,0.010119246079968888,0.28208936614941393,0.006574959126133453,0.4666934320800007,0.010490493083354757,3.4343899673455695e-138
cifar-vs-oneclass,pixel_entropy,64,reject,3000,100,1.0,0.9630051925239981,0.9999999999999999,0.2603533333333333,0.009158095386657156,3.8200042384308317e-78,3.3826367440511116e-77,47.10713682916664,3.3705646800475004,1.2439005265818536e-08,5.779953546183251e-09,302.4629970646418,21.76333507543365,0.0010000000000000002,2.168404344971009e-19,0.18274834723704825,0.01279979030319158,0.2457846418536066,0.00839889364456772,0.2551705175717672,0.011825424760703062,6.5654573730252206e-90
cifar-vs-uniform,pixel_entropy,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.7013025,0.0074792458677329235,0.0,0.0,274.0948923385938,7.123803992325166,8.43405334283176e-08,1.5459709740009776e-08,1788.525993726942,35.98128434089979,0.0010000000000000002,2.168404344971009e-19,5.01185491339018,0.065795060801415,0.8536301139222,0.008238299324060982,0.4885127709633111,0.005439970116985089,0.0
control-disjoint,BRISQUE,64,accept,4000,100,0.04,0.015663050551848016,0.09837217232607373,0.01918,0.005474723737322277,0.509004825649582,0.28077989683267707,0.1806001959375817,0.15999785319660775,0.47539195916336785,0.2899268560774683,0.1416447032461796,1.0944533482744705,0.21068571984375023,0.07132238821895576,0.012486876894081839,0.0022964337449971678,0.0658343351607667,0.005588986225490144,0.47161484110951435,0.14327828616627203,0.4743895229339886
cifar10-vs-cifar100,BRISQUE,64,reject,4000,100,0.86,0.7786263961619276,0.914737342455351,0.0390975,0.008671137108245953,0.03204280004027205,0.09004185115607015,0.9867267990625738,0.5174178503427528,0.025084045952030648,0.06728132123656162,6.219443625058736,3.4575847958764414,0.012447283878819089,0.02986928326741263,0.016128318841576172,0.0031388154458460668,0.0755745609899128,0.007362516241399753,1.15752816591084,0.33327275515466825,0.005318431743636478
cifar-vs-imagenet64,BRISQUE,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.7615425,0.006644269617497476,0.0,0.0,455.21207218828135,6.707577222621631,1.2929978487674632e-07,1.9060099858942652e-08,2781.8518626242403,40.76201227341408,0.0010000000000000002,2.168404344971009e-19,1.7115177258625698,0.037387646030975025,0.7460027094437178,0.005439485196535596,26.385999069635492,0.38715955832374765,0.0
cifar-vs-dtd,BRISQUE,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.46907000000000004,0.0042781538074267425,0.0,0.0,136.03268123640632,2.120105727057908,3.764565007280396e-08,9.532018675694687e-09,1062.6305917992358,12.518071206451282,0.0010000000000000002,2.168404344971009e-19,1.3342539832174714,0.025256992461560115,0.6788521288409666,0.0051238821248296845,35.059728025359156,0.3228763765971675,0.0
cifar-vs-oneclass,BRISQUE,64,reject,1014,100,0.22,0.15001174503655804,0.3107053471500031,0.050009861932938854,0.013456602977876568,0.25527917127534566,0.2341520811724283,0.3335221519048639,0.21610718232475012,0.2151647811636802,0.19169145234674895,1.1621180246546197,1.2367521736415248,0.14561828853558453,0.08954484183869935,0.03874114877621892,0.006311456604180065,0.11567714549859198,0.008964244297662896,1.5206659977476047,0.3201163573443089,0.17856337712471926
cifar-vs-uniform,BRISQUE,64,reject,4000,100,1.0,0.9630051925239981,0.9999999999999999,0.6906725,0.0063174060143384725,0.0,0.0,435.81249556656263,6.104697453123752,1.2419793237627986e-07,1.6987892134518118e-08,2719.9671840588744,37.18898707571906,0.0010000000000000002,2.168404344971009e-19,2.210059576677032,0.07896166258920323,0.6892629427272844,0.005534501176200393,31.006398583170775,0.438480348795553,0.0
control-disjoint,entropy-2-mse,128,accept,4000,100,0.05,0.02154336145631356,0.11175196527208817,0.0188325,0.006062080397850229,0.5296183712476747,0.3076724548437756,0.1748802684375846,0.1451231893457689,0.4823104206264178,0.29936995706813085,0.10110637547994786,1.0121337698357056,0.21018898023792168,0.06968728671597667,0.011437604789343065,0.002436501821783304,0.06298344481525753,0.006615241208616821,0.0003786651611328125,0.0001281428381013349,0.5271220054509869
