comparison,expected,n,repeat,scorer,n_target,n_test,KS,KS_p,CVM,CVM_p,KL
control-disjoint,accept,50,0,entropy-2-mse,50,50,0.14,0.7166468440414822,0.08020000000000138,0.7030315851581417,0.4176536816190135
control-disjoint,accept,50,1,entropy-2-mse,50,50,0.12,0.8692618870414056,0.09009999999999962,0.6467664840193854,0.4436550646065874
control-disjoint,accept,50,2,entropy-2-mse,50,50,0.18,0.3959398631708505,0.09759999999999991,0.6070324424617195,0.4472123271674164
control-disjoint,accept,50,3,entropy-2-mse,50,50,0.1,0.9667464356809096,0.05560000000000187,0.8556639115288444,0.22379126346198858
control-disjoint,accept,50,4,entropy-2-mse,50,50,0.14,0.7166468440414822,0.10440000000000182,0.5732120622769308,0.20404814666956544
control-disjoint,accept,50,5,entropy-2-mse,50,50,0.36,0.002834980581320342,0.9756999999999998,0.0027682214602336996,0.45503194507476036
control-disjoint,accept,50,6,entropy-2-mse,50,50,0.1,0.9667464356809096,0.041900000000001825,0.9352845955973556,0.2911156865738378
control-disjoint,accept,50,7,entropy-2-mse,50,50,0.1,0.9667464356809096,0.05560000000000187,0.8556639115288444,0.32053599089013535
control-disjoint,accept,50,8,entropy-2-mse,50,50,0.2,0.2719135601522248,0.2826000000000022,0.15253198455670314,0.46749983060856515
control-disjoint,accept,50,9,entropy-2-mse,50,50,0.22,0.17858668181221732,0.21170000000000044,0.24845320940186133,0.4878142448983933
control-disjoint,accept,100,0,entropy-2-mse,100,100,0.1,0.7020569828664881,0.08752499999999941,0.6552085523095701,0.19432653158669513
control-disjoint,accept,100,1,entropy-2-mse,100,100,0.1,0.7020569828664881,0.1178249999999963,0.5083467600650878,0.22271983701798861
control-disjoint,accept,100,2,entropy-2-mse,100,100,0.11,0.5830090612540064,0.0813749999999942,0.6899868225846897,0.2774528901088641
control-disjoint,accept,100,3,entropy-2-mse,100,100,0.21,0.024055802841094577,0.5064749999999947,0.038349453252117804,0.25094237694707167
control-disjoint,accept,100,4,entropy-2-mse,100,100,0.1,0.7020569828664881,0.07724999999999937,0.7141910191259591,0.1895670496654485
control-disjoint,accept,100,5,entropy-2-mse,100,100,0.2,0.03638428787491733,0.437224999999998,0.05777502457285799,0.26863793961077215
control-disjoint,accept,100,6,entropy-2-mse,100,100,0.11,0.5830090612540064,0.18479999999999563,0.30071170576651884,0.1871729520337509
control-disjoint,accept,100,7,entropy-2-mse,100,100,0.07,0.9684099261397212,0.040449999999999875,0.9367518165701451,0.15575261412818664
control-disjoint,accept,100,8,entropy-2-mse,100,100,0.13,0.36818778606286096,0.10619999999999408,0.5599247977277604,0.2919254551554884
control-disjoint,accept,100,9,entropy-2-mse,100,100,0.16,0.1548386665118475,0.2503499999999974,0.1887205049719024,0.2655524133407062
control-disjoint,accept,200,0,entropy-2-mse,200,200,0.1,0.2704743832803917,0.17973750000000166,0.3113506576348033,0.14156322429717955
control-disjoint,accept,200,1,entropy-2-mse,200,200,0.075,0.6284308022715471,0.07401249999999493,0.7303965033958328,0.15433056669290043
control-disjoint,accept,200,2,entropy-2-mse,200,200,0.075,0.6284308022715471,0.06579374999999743,0.7810039138308165,0.14143860619424373
control-disjoint,accept,200,3,entropy-2-mse,200,200,0.1,0.2704743832803917,0.20475624999998843,0.25913105984721774,0.11782249421698739
control-disjoint,accept,200,4,entropy-2-mse,200,200,0.05,0.9646522162314058,0.05844999999999345,0.8272274461892578,0.19264077732328294
control-disjoint,accept,200,5,entropy-2-mse,200,200,0.165,0.008539483949831865,0.4789249999999896,0.04508089621022582,0.17908332122454312
control-disjoint,accept,200,6,entropy-2-mse,200,200,0.045,0.9877895282790693,0.03341249999999718,0.9659805553919454,0.10674821450329593
control-disjoint,accept,200,7,entropy-2-mse,200,200,0.04,0.9973277498238406,0.025106249999993224,0.9905700761027286,0.07443182951468975
control-disjoint,accept,200,8,entropy-2-mse,200,200,0.05,0.9646522162314058,0.037700000000000955,0.9473897493621078,0.1632419145224102
control-disjoint,accept,200,9,entropy-2-mse,200,200,0.135,0.052139087188847716,0.5230874999999884,0.03481477674471534,0.178551658887732
control-disjoint,accept,500,0,entropy-2-mse,500,500,0.058,0.3699050405997647,0.19802199999998038,0.2716328496352467,0.08367036705516867
control-disjoint,accept,500,1,entropy-2-mse,500,500,0.068,0.19804212658711798,0.1914279999999735,0.2850322163593534,0.07573184794419512
control-disjoint,accept,500,2,entropy-2-mse,500,500,0.038,0.8636766933110154,0.0626489999999933,0.7986815350677707,0.07870252160089768
control-disjoint,accept,500,3,entropy-2-mse,500,500,0.062,0.2919248807417811,0.20878799999999842,0.2513362405593086,0.08737962112583868
control-disjoint,accept,500,4,entropy-2-mse,500,500,0.05,0.5600220048872044,0.08790599999997539,0.6485721523983916,0.08234193688456701
control-disjoint,accept,500,5,entropy-2-mse,500,500,0.064,0.25760726053364696,0.1902469999999994,0.2875149382164448,0.08481117117148271
control-disjoint,accept,500,6,entropy-2-mse,500,500,0.048,0.6126241113875229,0.08141699999998764,0.6849009296445727,0.06358455647182537
control-disjoint,accept,500,7,entropy-2-mse,500,500,0.046,0.6659218712646571,0.09726099999997473,0.5994832897696982,0.049886481157798625
control-disjoint,accept,500,8,entropy-2-mse,500,500,0.062,0.2919248807417811,0.2073479999999961,0.2539436536277754,0.08131372341704779
control-disjoint,accept,500,9,entropy-2-mse,500,500,0.056,0.41348608403425674,0.1935049999999876,0.2807279535735595,0.06749316445758144
control-disjoint,accept,1000,0,entropy-2-mse,1000,1000,0.039,0.43260886958153144,0.16778249999998707,0.33987696706176695,0.04217393847100583
control-disjoint,accept,1000,1,entropy-2-mse,1000,1000,0.036,0.5362766985932181,0.11880800000000136,0.5006856024614509,0.04816541521624048
control-disjoint,accept,1000,2,entropy-2-mse,1000,1000,0.036,0.5362766985932181,0.07961899999997968,0.6946715489173954,0.039028646842517827
control-disjoint,accept,1000,3,entropy-2-mse,1000,1000,0.048,0.19957365535779528,0.2616539999999645,0.17416411416615962,0.053826491893228044
control-disjoint,accept,1000,4,entropy-2-mse,1000,1000,0.045,0.26347172719864703,0.24850674999999,0.19037669601076768,0.03839444928773796
control-disjoint,accept,1000,5,entropy-2-mse,1000,1000,0.049,0.18116454248303263,0.14876499999996895,0.3936317548178758,0.052057372353235966
control-disjoint,accept,1000,6,entropy-2-mse,1000,1000,0.029,0.7946637387576738,0.04935774999995601,0.8808507884728092,0.05122360473800392
control-disjoint,accept,1000,7,entropy-2-mse,1000,1000,0.054,0.1082872208757189,0.41699124999996684,0.06519010171126538,0.04060640137918021
control-disjoint,accept,1000,8,entropy-2-mse,1000,1000,0.036,0.5362766985932181,0.07333399999998846,0.7319133531971984,0.0338476740083268
control-disjoint,accept,1000,9,entropy-2-mse,1000,1000,0.033,0.647814872077161,0.12554000000000087,0.47387677345228807,0.0310278100004052
control-disjoint,accept,2000,0,entropy-2-mse,2000,2000,0.025,0.5596752163759332,0.08882337500006088,0.6427495976124976,0.020792042575072882
control-disjoint,accept,2000,1,entropy-2-mse,2000,2000,0.0195,0.8416360266077476,0.05915006250006627,0.8196817412315571,0.020257879060745967
control-disjoint,accept,2000,2,entropy-2-mse,2000,2000,0.023,0.6655293215356356,0.05743225000003349,0.8304968676011256,0.020255871669294875
control-disjoint,accept,2000,3,entropy-2-mse,2000,2000,0.031,0.291764846534962,0.23227662500005408,0.21282160557345564,0.02555032311321378
control-disjoint,accept,2000,4,entropy-2-mse,2000,2000,0.02,0.8187536311788122,0.09636299999999665,0.6032560190716074,0.022779202802054137
control-disjoint,accept,2000,5,entropy-2-mse,2000,2000,0.038,0.11135887905231429,0.24675068750002538,0.19263034174710314,0.025238902327312605
control-disjoint,accept,2000,6,entropy-2-mse,2000,2000,0.021,0.770029236885313,0.041639750000058484,0.924822766858099,0.025678166018234305
control-disjoint,accept,2000,7,entropy-2-mse,2000,2000,0.056,0.0037704349657562016,1.3905343124999945,0.0003069684809245965,0.024247458085239152
control-disjoint,accept,2000,8,entropy-2-mse,2000,2000,0.023,0.6655293215356356,0.08685087500009558,0.6535018650177855,0.025673823653319713
control-disjoint,accept,2000,9,entropy-2-mse,2000,2000,0.015,0.9780895655250116,0.03488962500000525,0.9577361633169504,0.023291764397097528
control-disjoint,accept,4000,0,entropy-2-mse,4000,4000,0.024,0.19953217025192727,0.24774587500019152,0.19130555854279852,0.008760065419236754
control-disjoint,accept,4000,1,entropy-2-mse,4000,4000,0.02125,0.3271132241358086,0.27284614062500623,0.16156197289666574,0.014277684658630758
control-disjoint,accept,4000,2,entropy-2-mse,4000,4000,0.01475,0.776999830456084,0.09556635937497049,0.6071790232941733,0.00860401649227914
control-disjoint,accept,4000,3,entropy-2-mse,4000,4000,0.033,0.025652836800253945,0.5498380937501679,0.029829808540034253,0.0131341524471177
control-disjoint,accept,4000,4,entropy-2-mse,4000,4000,0.019,0.4658145388594836,0.07111585937514064,0.744897280263447,0.013761583911898238
control-disjoint,accept,4000,5,entropy-2-mse,4000,4000,0.02075,0.35532495055400326,0.19983332812512344,0.26782992300850506,0.009269526213321291
control-disjoint,accept,4000,6,entropy-2-mse,4000,4000,0.0085,0.998711854027964,0.021543968750165732,0.9953498111705451,0.014200494124705877
control-disjoint,accept,4000,7,entropy-2-mse,4000,4000,0.03025,0.05144610855237875,0.6559454375001224,0.016306219841051073,0.01502312628565135
control-disjoint,accept,4000,8,entropy-2-mse,4000,4000,0.015,0.7591657583125982,0.08033795312508119,0.6900540687762706,0.013549348542694545
control-disjoint,accept,4000,9,entropy-2-mse,4000,4000,0.01675,0.6287745329155909,0.09815496875012286,0.5941202993081338,0.011952455177766382
cifar10-vs-cifar100,reject,50,0,entropy-2-mse,50,50,0.12,0.8692618870414056,0.0884999999999998,0.6555717141860193,0.2800908125502233
cifar10-vs-cifar100,reject,50,1,entropy-2-mse,50,50,0.08,0.9977109764909107,0.029700000000001836,0.9841161831982337,0.2634841708864563
cifar10-vs-cifar100,reject,50,2,entropy-2-mse,50,50,0.1,0.9667464356809096,0.040800000000000836,0.9408337732568559,0.35390369345334544
cifar10-vs-cifar100,reject,50,3,entropy-2-mse,50,50,0.14,0.7166468440414822,0.12480000000000047,0.48377308407054675,0.2905735881842257
cifar10-vs-cifar100,reject,50,4,entropy-2-mse,50,50,0.1,0.9667464356809096,0.06150000000000233,0.8184889933830386,0.25931686149121363
cifar10-vs-cifar100,reject,50,5,entropy-2-mse,50,50,0.4,0.0005822568814776493,1.3336000000000006,0.00040546843230993,0.326864075596003
cifar10-vs-cifar100,reject,50,6,entropy-2-mse,50,50,0.14,0.7166468440414822,0.06320000000000192,0.8077248556508472,0.41082925791296376
cifar10-vs-cifar100,reject,50,7,entropy-2-mse,50,50,0.12,0.8692618870414056,0.07039999999999935,0.762470536383262,0.39158911339928765
cifar10-vs-cifar100,reject,50,8,entropy-2-mse,50,50,0.12,0.8692618870414056,0.04749999999999943,0.9046340210292064,0.2815603243768036
cifar10-vs-cifar100,reject,50,9,entropy-2-mse,50,50,0.14,0.7166468440414822,0.06970000000000098,0.7668281237474123,0.28417804016773435
cifar10-vs-cifar100,reject,100,0,entropy-2-mse,100,100,0.06,0.9942356257694902,0.028624999999998124,0.9838004380518872,0.19264906879777283
cifar10-vs-cifar100,reject,100,1,entropy-2-mse,100,100,0.13,0.36818778606286096,0.13342499999999546,0.44757697537034946,0.31665038821941655
