comparison,expected,n,repeat,scorer,n_target,n_test,KS,KS_p,CVM,CVM_p,KL
cifar10-vs-cifar100,reject,100,2,entropy-2-mse,100,100,0.11,0.5830090612540064,0.16044999999999732,0.36160856066259306,0.1777936638064825
cifar10-vs-cifar100,reject,100,3,entropy-2-mse,100,100,0.08,0.9084105017744525,0.08684999999999832,0.6589457221849104,0.2254689013952965
cifar10-vs-cifar100,reject,100,4,entropy-2-mse,100,100,0.09,0.8154147124661313,0.11862499999999443,0.5050031993320798,0.21333561357806297
cifar10-vs-cifar100,reject,100,5,entropy-2-mse,100,100,0.16,0.1548386665118475,0.21982500000000016,0.23329321560638516,0.3152469313884871
cifar10-vs-cifar100,reject,100,6,entropy-2-mse,100,100,0.12,0.469506448503778,0.1558250000000001,0.37480391750748077,0.3416025042048879
cifar10-vs-cifar100,reject,100,7,entropy-2-mse,100,100,0.06,0.9942356257694902,0.03819999999999624,0.9477740768032794,0.35756457768267536
cifar10-vs-cifar100,reject,100,8,entropy-2-mse,100,100,0.16,0.1548386665118475,0.3908749999999941,0.07650447025617191,0.20401145035597887
cifar10-vs-cifar100,reject,100,9,entropy-2-mse,100,100,0.14,0.2819416298082479,0.19844999999999402,0.2719801140546243,0.2939825387983733
cifar10-vs-cifar100,reject,200,0,entropy-2-mse,200,200,0.06,0.8655265369450457,0.10284999999998945,0.5734628109589543,0.15608070091004542
cifar10-vs-cifar100,reject,200,1,entropy-2-mse,200,200,0.05,0.9646522162314058,0.038112499999996885,0.9454262797301608,0.1631151958759324
cifar10-vs-cifar100,reject,200,2,entropy-2-mse,200,200,0.095,0.32811544409418575,0.29753749999999,0.13757569756611177,0.14853293722424551
cifar10-vs-cifar100,reject,200,3,entropy-2-mse,200,200,0.06,0.8655265369450457,0.0630812499999962,0.7980303208918949,0.16728262149501705
cifar10-vs-cifar100,reject,200,4,entropy-2-mse,200,200,0.075,0.6284308022715471,0.08453124999999773,0.6689923181784128,0.21016865852561048
cifar10-vs-cifar100,reject,200,5,entropy-2-mse,200,200,0.075,0.6284308022715471,0.13123124999999902,0.4538795941848407,0.16146833733218785
cifar10-vs-cifar100,reject,200,6,entropy-2-mse,200,200,0.065,0.7933622419382523,0.054924999999997226,0.8493579779558309,0.23127849589781888
cifar10-vs-cifar100,reject,200,7,entropy-2-mse,200,200,0.075,0.6284308022715471,0.09055624999999168,0.6359122497123122,0.11929563082959005
cifar10-vs-cifar100,reject,200,8,entropy-2-mse,200,200,0.13,0.06801920461119272,0.32011249999999336,0.11893218127946403,0.1857808185347363
cifar10-vs-cifar100,reject,200,9,entropy-2-mse,200,200,0.095,0.32811544409418575,0.15466874999999902,0.3769212263877778,0.1441592007247412
cifar10-vs-cifar100,reject,500,0,entropy-2-mse,500,500,0.074,0.12939616996710074,0.28627999999997655,0.1479339939941392,0.082444569866651
cifar10-vs-cifar100,reject,500,1,entropy-2-mse,500,500,0.076,0.11136835555551457,0.30134099999997943,0.1340873666589696,0.08851119131978459
cifar10-vs-cifar100,reject,500,2,entropy-2-mse,500,500,0.048,0.6126241113875229,0.1258619999999837,0.4729973862773932,0.07231793102001685
cifar10-vs-cifar100,reject,500,3,entropy-2-mse,500,500,0.078,0.09546453231155308,0.3352349999999831,0.10794427500701664,0.08988782181763798
cifar10-vs-cifar100,reject,500,4,entropy-2-mse,500,500,0.036,0.9026912216773312,0.07397499999999013,0.7286911290409801,0.062633197095836
cifar10-vs-cifar100,reject,500,5,entropy-2-mse,500,500,0.092,0.028995961061089214,0.6946509999999932,0.013116996731818986,0.10667388404323865
cifar10-vs-cifar100,reject,500,6,entropy-2-mse,500,500,0.082,0.06930076569272504,0.5729159999999922,0.026120691398660467,0.08451986261839946
cifar10-vs-cifar100,reject,500,7,entropy-2-mse,500,500,0.038,0.8636766933110154,0.08152499999999918,0.6842815736458574,0.04569375613079021
cifar10-vs-cifar100,reject,500,8,entropy-2-mse,500,500,0.09,0.03479508043637821,0.5181059999999889,0.0358414867634923,0.06866782178794073
cifar10-vs-cifar100,reject,500,9,entropy-2-mse,500,500,0.054,0.4599232291065006,0.13020499999998947,0.45663359507763646,0.06325978259440179
cifar10-vs-cifar100,reject,1000,0,entropy-2-mse,1000,1000,0.063,0.03776014017220749,0.528846749999957,0.03367578680718175,0.04557683154408153
cifar10-vs-cifar100,reject,1000,1,entropy-2-mse,1000,1000,0.047,0.21939649929677082,0.39354974999997694,0.07515466351805877,0.04370225992546198
cifar10-vs-cifar100,reject,1000,2,entropy-2-mse,1000,1000,0.043,0.3136800387320582,0.24993124999997463,0.18853809390743148,0.03268014929770379
cifar10-vs-cifar100,reject,1000,3,entropy-2-mse,1000,1000,0.048,0.19957365535779528,0.22931624999995392,0.21730194066857478,0.0602597635836809
cifar10-vs-cifar100,reject,1000,4,entropy-2-mse,1000,1000,0.031,0.7228251828701066,0.09217099999995071,0.6251669673480962,0.0318903228715456
cifar10-vs-cifar100,reject,1000,5,entropy-2-mse,1000,1000,0.074,0.008353146175741297,0.7723379999999906,0.008518707628986766,0.04556407185861466
cifar10-vs-cifar100,reject,1000,6,entropy-2-mse,1000,1000,0.082,0.002393409648884169,0.9209134999999833,0.0037737915031091918,0.05448561290341134
cifar10-vs-cifar100,reject,1000,7,entropy-2-mse,1000,1000,0.019,0.9937026761524456,0.027544750000004115,0.9838354334634819,0.015515957168060973
cifar10-vs-cifar100,reject,1000,8,entropy-2-mse,1000,1000,0.06,0.05462666510701526,0.562545249999971,0.02772503661555137,0.05591565517399671
cifar10-vs-cifar100,reject,1000,9,entropy-2-mse,1000,1000,0.049,0.18116454248303263,0.2007492500000012,0.26616778815818865,0.035926831157608106
cifar10-vs-cifar100,reject,2000,0,entropy-2-mse,2000,2000,0.0545,0.0052537664278492,0.812448687500023,0.0068297822221123905,0.020105644866127682
cifar10-vs-cifar100,reject,2000,1,entropy-2-mse,2000,2000,0.039,0.0954673206906231,0.47398181250002835,0.046407320230378524,0.03238439159256104
cifar10-vs-cifar100,reject,2000,2,entropy-2-mse,2000,2000,0.0475,0.021929482356286622,0.7397336875000065,0.01020726993843879,0.017083451590036904
cifar10-vs-cifar100,reject,2000,3,entropy-2-mse,2000,2000,0.0455,0.031817125980592255,0.4617660625000326,0.049881676952355014,0.028565951972793033
cifar10-vs-cifar100,reject,2000,4,entropy-2-mse,2000,2000,0.039,0.0954673206906231,0.5964498125000546,0.022837911233003716,0.02024446621342082
cifar10-vs-cifar100,reject,2000,5,entropy-2-mse,2000,2000,0.0615,0.0010340893174460098,1.1214248750000024,0.0012809419839400205,0.02911163065188481
cifar10-vs-cifar100,reject,2000,6,entropy-2-mse,2000,2000,0.0695,0.0001268222044414911,1.3566464374999896,0.000367074503105691,0.028372208318364324
cifar10-vs-cifar100,reject,2000,7,entropy-2-mse,2000,2000,0.031,0.291764846534962,0.20741193750006914,0.2536275635885866,0.016432827861964587
cifar10-vs-cifar100,reject,2000,8,entropy-2-mse,2000,2000,0.0625,0.0008067550852965074,1.3537917500000276,0.00037265052764601236,0.024323593435264638
cifar10-vs-cifar100,reject,2000,9,entropy-2-mse,2000,2000,0.059,0.001890045587432395,0.8755032500000652,0.004834441772175513,0.02236537375833298
cifar10-vs-cifar100,reject,4000,0,entropy-2-mse,4000,4000,0.03725,0.0077683853794275485,0.9021794218751893,0.004180506830955499,0.013429456145699124
cifar10-vs-cifar100,reject,4000,1,entropy-2-mse,4000,4000,0.02875,0.0733000497250074,0.42739095312504105,0.061228780392023174,0.016695504195591918
cifar10-vs-cifar100,reject,4000,2,entropy-2-mse,4000,4000,0.05075,6.690476317150927e-05,1.9866357968751345,1.368909271393104e-05,0.013469252540553377
cifar10-vs-cifar100,reject,4000,3,entropy-2-mse,4000,4000,0.033,0.025652836800253945,0.4965031406250091,0.04065631524307067,0.02073895889118816
cifar10-vs-cifar100,reject,4000,4,entropy-2-mse,4000,4000,0.032,0.0332718194654303,0.8587544687500213,0.005298537680827997,0.016039318450634967
cifar10-vs-cifar100,reject,4000,5,entropy-2-mse,4000,4000,0.03775,0.006685966394095875,1.137209390625003,0.0011775164520887449,0.015755370456747752
cifar10-vs-cifar100,reject,4000,6,entropy-2-mse,4000,4000,0.04975,0.00010003885850567805,2.0793127812501098,8.478278487489277e-06,0.019450953310571655
cifar10-vs-cifar100,reject,4000,7,entropy-2-mse,4000,4000,0.0335,0.02245745081753357,0.7371855156250149,0.010353621418517478,0.01447476200913288
cifar10-vs-cifar100,reject,4000,8,entropy-2-mse,4000,4000,0.0465,0.00034989053956004264,1.0794605625001168,0.0016041796267548536,0.01640665454800615
cifar10-vs-cifar100,reject,4000,9,entropy-2-mse,4000,4000,0.0575,3.589512083112857e-06,2.66332081250016,4.218206204331665e-07,0.019345221661834885
cifar-vs-imagenet64,reject,50,0,entropy-2-mse,50,50,0.32,0.011511738725894704,0.5878000000000014,0.02392754298440769,0.4344751740274576
cifar-vs-imagenet64,reject,50,1,entropy-2-mse,50,50,0.18,0.3959398631708505,0.19920000000000115,0.2719863287431027,0.23887622825948607
cifar-vs-imagenet64,reject,50,2,entropy-2-mse,50,50,0.22,0.17858668181221732,0.32339999999999947,0.11694449132306062,0.5032861905516866
cifar-vs-imagenet64,reject,50,3,entropy-2-mse,50,50,0.2,0.2719135601522248,0.3033000000000001,0.1331481493630694,0.25628822224119774
cifar-vs-imagenet64,reject,50,4,entropy-2-mse,50,50,0.1,0.9667464356809096,0.024100000000000676,0.9951237241473577,0.2737480612316884
cifar-vs-imagenet64,reject,50,5,entropy-2-mse,50,50,0.32,0.011511738725894704,0.9113000000000007,0.003932299412950813,0.3999203331753712
cifar-vs-imagenet64,reject,50,6,entropy-2-mse,50,50,0.16,0.5486851446031328,0.09360000000000213,0.6279063184870199,0.3435743426042483
cifar-vs-imagenet64,reject,50,7,entropy-2-mse,50,50,0.28,0.039194586195352224,0.5898000000000003,0.02365460672629316,0.41509957267694036
cifar-vs-imagenet64,reject,50,8,entropy-2-mse,50,50,0.26,0.06779471096995852,0.4754000000000005,0.046044110128883875,0.4160189656400546
cifar-vs-imagenet64,reject,50,9,entropy-2-mse,50,50,0.16,0.5486851446031328,0.09530000000000172,0.6189459861408048,0.3562211396328126
cifar-vs-imagenet64,reject,100,0,entropy-2-mse,100,100,0.23,0.009878183186176536,0.6329499999999939,0.01852972208118142,0.2718491946849608
cifar-vs-imagenet64,reject,100,1,entropy-2-mse,100,100,0.15,0.21117008625127576,0.18624999999999403,0.2974922197610089,0.25621830348446983
cifar-vs-imagenet64,reject,100,2,entropy-2-mse,100,100,0.17,0.11119526053829192,0.4095999999999975,0.06825006584335647,0.42978531399087533
cifar-vs-imagenet64,reject,100,3,entropy-2-mse,100,100,0.23,0.009878183186176536,0.7564499999999938,0.009271123385503732,0.32377116134678485
cifar-vs-imagenet64,reject,100,4,entropy-2-mse,100,100,0.07,0.9684099261397212,0.050749999999993634,0.8785803804556366,0.1574163665251304
cifar-vs-imagenet64,reject,100,5,entropy-2-mse,100,100,0.21,0.024055802841094577,0.6778249999999986,0.014383675798154916,0.22606731772353447
cifar-vs-imagenet64,reject,100,6,entropy-2-mse,100,100,0.15,0.21117008625127576,0.23742499999999467,0.20625426760388377,0.330768794134689
cifar-vs-imagenet64,reject,100,7,entropy-2-mse,100,100,0.2,0.03638428787491733,0.8221499999999935,0.006447245309339489,0.39071376573470246
cifar-vs-imagenet64,reject,100,8,entropy-2-mse,100,100,0.19,0.05390207893129876,0.6634499999999974,0.015595805617273362,0.3308556531884455
cifar-vs-imagenet64,reject,100,9,entropy-2-mse,100,100,0.14,0.2819416298082479,0.19709999999999894,0.27467053548091336,0.3185480704410111
cifar-vs-imagenet64,reject,200,0,entropy-2-mse,200,200,0.185,0.0020827633834865906,0.87205625,0.004914922609880246,0.18036723734493312
cifar-vs-imagenet64,reject,200,1,entropy-2-mse,200,200,0.13,0.06801920461119272,0.5489562499999892,0.029971272539416782,0.14105094330071763
cifar-vs-imagenet64,reject,200,2,entropy-2-mse,200,200,0.155,0.016258459276759563,0.6267812499999934,0.01920784576521739,0.16218893130945014
cifar-vs-imagenet64,reject,200,3,entropy-2-mse,200,200,0.17,0.006094418258803505,0.9757499999999908,0.0027957742808311092,0.17294075387651328
cifar-vs-imagenet64,reject,200,4,entropy-2-mse,200,200,0.1,0.2704743832803917,0.3756750000000011,0.08392372261586556,0.0958273233717235
cifar-vs-imagenet64,reject,200,5,entropy-2-mse,200,200,0.195,0.0009668691315127085,1.055099999999996,0.0018218259463170794,0.1691140754718214
cifar-vs-imagenet64,reject,200,6,entropy-2-mse,200,200,0.17,0.006094418258803505,1.1248312499999997,0.0012530417285365747,0.2195205148951701
cifar-vs-imagenet64,reject,200,7,entropy-2-mse,200,200,0.14,0.03956202584899502,0.7459750000000014,0.009844331068196044,0.15417888104434924
cifar-vs-imagenet64,reject,200,8,entropy-2-mse,200,200,0.13,0.06801920461119272,0.48559999999999093,0.04334377146451329,0.1623475876975732
cifar-vs-imagenet64,reject,200,9,entropy-2-mse,200,200,0.175,0.004304993380033157,0.8238187500000009,0.006403042079118237,0.20946086485781915
cifar-vs-imagenet64,reject,500,0,entropy-2-mse,500,500,0.146,4.575187652931717e-05,2.2118969999999933,4.262318641368168e-06,0.09786083782140777
cifar-vs-imagenet64,reject,500,1,entropy-2-mse,500,500,0.126,0.0007045191903924169,1.3501559999999984,0.00037923406680351324,0.09686669656954021
cifar-vs-imagenet64,reject,500,2,entropy-2-mse,500,500,0.154,1.3671719473054452e-05,2.055263999999994,9.565930328192529e-06,0.10344515193941381
cifar-vs-imagenet64,reject,500,3,entropy-2-mse,500,500,0.138,0.0001434246303518553,1.6001699999999914,0.0001018867813604718,0.09447168276380537
cifar-vs-imagenet64,reject,500,4,entropy-2-mse,500,500,0.096,0.019894110072361745,0.8988789999999938,0.004252267396833043,0.0738824612815565
cifar-vs-imagenet64,reject,500,5,entropy-2-mse,500,500,0.114,0.00299005061044668,1.3950659999999857,0.0002991890225947369,0.09833440216235932
cifar-vs-imagenet64,reject,500,6,entropy-2-mse,500,500,0.128,0.0005458774578140435,1.9293579999999793,1.8355641681178092e-05,0.10257905434914807
cifar-vs-imagenet64,reject,500,7,entropy-2-mse,500,500,0.128,0.0005458774578140435,1.7822499999999764,3.940550927672426e-05,0.15170893859943624
cifar-vs-imagenet64,reject,500,8,entropy-2-mse,500,500,0.08,0.08150167321107067,0.4703099999999836,0.0474268483578929,0.06672266161327371
cifar-vs-imagenet64,reject,500,9,entropy-2-mse,500,500,0.118,0.0018769751767371433,1.3833679999999902,0.00031823266729313904,0.08292662352591536
cifar-vs-imagenet64,reject,1000,0,entropy-2-mse,1000,1000,0.106,2.597590093504764e-05,2.699064999999962,3.506029165878388e-07,0.07090653855754225
cifar-vs-imagenet64,reject,1000,1,entropy-2-mse,1000,1000,0.1,8.974277567313009e-05,2.0064664999999877,1.2336226297926522e-05,0.07638775576193346
cifar-vs-imagenet64,reject,1000,2,entropy-2-mse,1000,1000,0.114,4.441088228134397e-06,2.2730039999999576,3.118564893545006e-06,0.05942013193309721
cifar-vs-imagenet64,reject,1000,3,entropy-2-mse,1000,1000,0.134,3.042740004182204e-08,3.536593249999953,4.946818177309353e-09,0.06661484077730834
cifar-vs-imagenet64,reject,1000,4,entropy-2-mse,1000,1000,0.125,3.1682132882618906e-07,3.248540749999961,2.128804110768101e-08,0.05751486245416352
cifar-vs-imagenet64,reject,1000,5,entropy-2-mse,1000,1000,0.124,4.0687670654048253e-07,3.216064499999959,2.511006136352023e-08,0.07522102877369001
cifar-vs-imagenet64,reject,1000,6,entropy-2-mse,1000,1000,0.118,1.7492235820299696e-06,2.876825999999994,1.4138755966008887e-07,0.06237642041020839
cifar-vs-imagenet64,reject,1000,7,entropy-2-mse,1000,1000,0.137,1.3433151993983066e-08,4.370490749999988,7.472977792133406e-11,0.09659716640716366
cifar-vs-imagenet64,reject,1000,8,entropy-2-mse,1000,1000,0.098,0.00013349301651925088,1.9883559999999534,1.3548165085697228e-05,0.06119079031267789
cifar-vs-imagenet64,reject,1000,9,entropy-2-mse,1000,1000,0.12,1.0845303448772275e-06,3.5769342499999652,4.039981571501983e-09,0.06400918876452981
cifar-vs-imagenet64,reject,2000,0,entropy-2-mse,2000,2000,0.114,9.797374126160623e-12,5.0025850625000885,4.9211079655719914e-11,0.04928860395025356
