comparison,scorer,expected,n,repeats,im_size,detect_KS,detect_KS_lo,detect_KS_hi,detect_CVM,KS_mean,KS_sd,KL_mean,n_target_pool,n_test_pool
control-disjoint,entropy-2-mse,accept,25,1000,256,0.041,0.03036480400090244,0.055148288901404066,0.054,0.22844000000000006,0.0768320662223788,0.38089382476764455,30000,30000
control-disjoint,entropy-2-mse,accept,50,1000,256,0.043,0.03207848108830104,0.057419304219659906,0.055,0.16672000000000003,0.052532291021808675,0.36114099397128835,30000,30000
control-disjoint,entropy-2-mse,accept,100,1000,256,0.019,0.012196787737404147,0.029484688702703543,0.046,0.11703000000000001,0.03600109859434848,0.257313116097754,30000,30000
control-disjoint,entropy-2-mse,accept,200,1000,256,0.041,0.03036480400090244,0.055148288901404066,0.048,0.0835,0.026361904331819428,0.1585661412959035,30000,30000
control-disjoint,entropy-2-mse,accept,500,1000,256,0.046,0.03466231280457309,0.06081251111186951,0.056,0.05363000000000001,0.016102270026303746,0.07351150309609682,30000,30000
control-disjoint,entropy-2-mse,accept,1000,1000,256,0.051,0.03900075064262791,0.06643580428795079,0.057,0.037809,0.01162774780428265,0.04022238011274793,30000,30000
control-disjoint,entropy-2-mse,accept,2000,1000,256,0.047,0.03552692265984565,0.06194024745942417,0.047,0.026640500000000004,0.008101358512619967,0.02133114297337189,30000,30000
control-disjoint,entropy-2-mse,accept,4000,1000,256,0.046,0.03466231280457309,0.06081251111186951,0.058,0.019025749999999998,0.006060530045920076,0.011108441219758689,30000,30000
cifar10-vs-cifar100,entropy-2-mse,reject,25,1000,256,0.046,0.03466231280457309,0.06081251111186951,0.067,0.22940000000000002,0.0793249015127028,0.3865866741867713,60000,30000
cifar10-vs-cifar100,entropy-2-mse,reject,50,1000,256,0.053,0.040746308422339304,0.06867493891389383,0.08,0.17072000000000004,0.05498619463101625,0.3694014568438776,60000,30000
cifar10-vs-cifar100,entropy-2-mse,reject,100,1000,256,0.051,0.03900075064262791,0.06643580428795079,0.081,0.12277,0.039133452441613176,0.26395558248149187,60000,30000
cifar10-vs-cifar100,entropy-2-mse,reject,200,1000,256,0.103,0.08565451806760464,0.12338403940998945,0.14,0.09408000000000001,0.030987152176345602,0.1609938276234495,60000,30000
cifar10-vs-cifar100,entropy-2-mse,reject,500,1000,256,0.239,0.21359749233628916,0.2664001487258067,0.272,0.06930800000000001,0.022442485067389484,0.07698549146091167,60000,30000
cifar10-vs-cifar100,entropy-2-mse,reject,1000,1000,256,0.409,0.378931880862837,0.43976461467988615,0.483,0.057517000000000006,0.016390171170552185,0.04465600209427362,60000,30000
cifar10-vs-cifar100,entropy-2-mse,reject,2000,1000,256,0.76,0.7325660897012628,0.7854439230338143,0.836,0.051230000000000005,0.011803414760144626,0.027662290227681848,60000,30000
cifar10-vs-cifar100,entropy-2-mse,reject,4000,1000,256,0.98,0.9693097584861028,0.9870164188709625,0.991,0.04663724999999999,0.008225758319905832,0.018513415828983467,60000,30000
cifar-vs-imagenet64,entropy-2-mse,reject,25,1000,256,0.087,0.07107415624980785,0.10608686198255073,0.125,0.25208,0.08452025556042765,0.38450132460530356,60000,30000
cifar-vs-imagenet64,entropy-2-mse,reject,50,1000,256,0.152,0.1310821425815671,0.17558137883456074,0.193,0.19608000000000003,0.06842684853184458,0.36243238476705675,60000,30000
cifar-vs-imagenet64,entropy-2-mse,reject,100,1000,256,0.282,0.2549855455295956,0.31068298225407065,0.389,0.1659,0.05407393087246386,0.2764164261125261,60000,30000
cifar-vs-imagenet64,entropy-2-mse,reject,200,1000,256,0.508,0.4770423632544587,0.5388964063681592,0.646,0.1397,0.04026549391228176,0.18142691532782265,60000,30000
cifar-vs-imagenet64,entropy-2-mse,reject,500,1000,256,0.94,0.9235285893693421,0.9531037398746343,0.971,0.125274,0.026479670013049635,0.10337193823825301,60000,30000
cifar-vs-imagenet64,entropy-2-mse,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.116738,0.019569398457796296,0.0713233263547113,60000,30000
cifar-vs-imagenet64,entropy-2-mse,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.111735,0.013861665664702783,0.05264657788376225,60000,30000
cifar-vs-imagenet64,entropy-2-mse,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.10849850000000001,0.009719947157778174,0.04304744736906577,60000,30000
cifar-vs-dtd,entropy-2-mse,reject,25,1000,256,0.035,0.025272112485012703,0.0482869032003305,0.051,0.22988000000000006,0.073157266214642,0.3830040004601638,60000,5640
cifar-vs-dtd,entropy-2-mse,reject,50,1000,256,0.043,0.03207848108830104,0.057419304219659906,0.054,0.16774000000000003,0.05189694017955201,0.3679747185381618,60000,5640
cifar-vs-dtd,entropy-2-mse,reject,100,1000,256,0.056,0.04337460969160231,0.07202367625311248,0.091,0.12429000000000003,0.03876720134340368,0.2695938112830979,60000,5640
cifar-vs-dtd,entropy-2-mse,reject,200,1000,256,0.067,0.05310169229975138,0.08421240187606284,0.098,0.09253,0.02726809674326391,0.16553017561571695,60000,5640
cifar-vs-dtd,entropy-2-mse,reject,500,1000,256,0.167,0.1451661838787161,0.19138253057982002,0.197,0.066346,0.018645436009919424,0.08168435974168466,60000,5640
cifar-vs-dtd,entropy-2-mse,reject,1000,1000,256,0.289,0.2617539675950579,0.31786098360839893,0.339,0.05394500000000001,0.012624657421094641,0.04983762606703562,60000,5640
cifar-vs-dtd,entropy-2-mse,reject,2000,1000,256,0.722,0.6934224363691295,0.7488784206585131,0.696,0.048161999999999996,0.008786196901959345,0.03117656447056501,60000,5640
cifar-vs-dtd,entropy-2-mse,reject,4000,1000,256,0.996,0.9897602795701941,0.9984434370321067,0.984,0.044625,0.005316989279658179,0.021741604820532508,60000,5640
cifar-vs-oneclass,entropy-2-mse,reject,25,1000,256,0.129,0.10963511503514137,0.15120444371596045,0.194,0.26944000000000007,0.09598586562614311,0.3897374917748003,30000,3000
