comparison,scorer,expected,n,repeats,im_size,detect_KS,detect_KS_lo,detect_KS_hi,detect_CVM,KS_mean,KS_sd,KL_mean,n_target_pool,n_test_pool
cifar-vs-oneclass,entropy-2-mse,reject,50,1000,256,0.271,0.24436624773932128,0.2993864718132457,0.321,0.22296000000000005,0.07473712865771605,0.3838457083182703,30000,3000
cifar-vs-oneclass,entropy-2-mse,reject,100,1000,256,0.456,0.42535695507448296,0.48697981200111956,0.572,0.19096000000000002,0.05878331736130584,0.29448089531038785,30000,3000
cifar-vs-oneclass,entropy-2-mse,reject,200,1000,256,0.801,0.7751230014375367,0.8245732056134564,0.881,0.174845,0.04148856438827451,0.2063707953971624,30000,3000
cifar-vs-oneclass,entropy-2-mse,reject,500,1000,256,0.999,0.9943572970398398,0.9998234581709429,1.0,0.158422,0.027888813456294622,0.12360632404377381,30000,3000
cifar-vs-oneclass,entropy-2-mse,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.15088200000000002,0.018862398468911634,0.09184652523516508,30000,3000
cifar-vs-oneclass,entropy-2-mse,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.147332,0.011568698111715077,0.07536136509058552,30000,3000
cifar-vs-uniform,entropy-2-mse,reject,25,1000,256,0.579,0.5481537333387585,0.6092416166845918,0.738,0.40196000000000004,0.07694776410006986,0.46008580227235774,60000,30000
cifar-vs-uniform,entropy-2-mse,reject,50,1000,256,0.973,0.9610010105865644,0.9813787433507103,0.997,0.36584000000000005,0.056768780152474656,0.5961362985023662,60000,30000
cifar-vs-uniform,entropy-2-mse,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,0.34413,0.04024230485446876,0.7466685707200863,60000,30000
cifar-vs-uniform,entropy-2-mse,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.32905,0.03019018880364944,0.9351651442335718,60000,30000
cifar-vs-uniform,entropy-2-mse,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.318092,0.021732729603066436,1.2234512798429122,60000,30000
cifar-vs-uniform,entropy-2-mse,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.312724,0.0159142019592564,1.4431807410621125,60000,30000
cifar-vs-uniform,entropy-2-mse,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.31094,0.011323488861653911,1.6573235531733237,60000,30000
cifar-vs-uniform,entropy-2-mse,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.30995799999999996,0.00791024563461843,1.8606440128875108,60000,30000
control-disjoint,jpeg_bytes,accept,25,1000,256,0.038,0.027808845539615407,0.05172720875420944,0.053,0.22592000000000004,0.07268668103579912,0.39384694754107297,30000,30000
control-disjoint,jpeg_bytes,accept,50,1000,256,0.038,0.027808845539615407,0.05172720875420944,0.051,0.16472000000000003,0.050304290075499525,0.3814183819096221,30000,30000
control-disjoint,jpeg_bytes,accept,100,1000,256,0.033,0.023592783250793958,0.045981540028894805,0.05,0.11759,0.03634407654625441,0.2816757744385333,30000,30000
control-disjoint,jpeg_bytes,accept,200,1000,256,0.034,0.024431201022401962,0.04713546846011402,0.048,0.08382499999999998,0.02569813952409785,0.17262733494441135,30000,30000
control-disjoint,jpeg_bytes,accept,500,1000,256,0.041,0.03036480400090244,0.055148288901404066,0.05,0.05331600000000001,0.016519689585461343,0.08044709269770906,30000,30000
control-disjoint,jpeg_bytes,accept,1000,1000,256,0.044,0.03293803969043349,0.058552091820354674,0.042,0.038012,0.011627547290809013,0.04351272795569767,30000,30000
control-disjoint,jpeg_bytes,accept,2000,1000,256,0.038,0.027808845539615407,0.05172720875420944,0.03,0.026591500000000004,0.007528471142934666,0.023288333708669638,30000,30000
control-disjoint,jpeg_bytes,accept,4000,1000,256,0.035,0.025272112485012703,0.0482869032003305,0.036,0.018664999999999998,0.005347361498907662,0.012029289603819321,30000,30000
cifar10-vs-cifar100,jpeg_bytes,reject,25,1000,256,0.034,0.024431201022401962,0.04713546846011402,0.042,0.22584000000000004,0.07300064657247907,0.3927543482441372,60000,30000
cifar10-vs-cifar100,jpeg_bytes,reject,50,1000,256,0.043,0.03207848108830104,0.057419304219659906,0.054,0.16684000000000004,0.05159471290742881,0.3868567211314524,60000,30000
cifar10-vs-cifar100,jpeg_bytes,reject,100,1000,256,0.049,0.03726084730617148,0.06419101521875278,0.062,0.12183000000000001,0.03841290278018572,0.2866161608451076,60000,30000
cifar10-vs-cifar100,jpeg_bytes,reject,200,1000,256,0.072,0.05756368435169555,0.08971214083825475,0.084,0.09119,0.02806659758502979,0.1755388517527046,60000,30000
cifar10-vs-cifar100,jpeg_bytes,reject,500,1000,256,0.122,0.10314842422860387,0.1437447111027074,0.116,0.06416000000000001,0.0178432732423174,0.08286593913860736,60000,30000
cifar10-vs-cifar100,jpeg_bytes,reject,1000,1000,256,0.191,0.16783652890414247,0.21652849442224692,0.204,0.050284000000000016,0.012231489852017212,0.04793237361123698,60000,30000
cifar10-vs-cifar100,jpeg_bytes,reject,2000,1000,256,0.408,0.3779471781311396,0.4387569712087563,0.502,0.0418305,0.009137424131011977,0.029981812772322865,60000,30000
cifar10-vs-cifar100,jpeg_bytes,reject,4000,1000,256,0.827,0.8023160584363541,0.8491811498881464,0.92,0.036380249999999996,0.006560933427302856,0.02043501233225689,60000,30000
cifar-vs-imagenet64,jpeg_bytes,reject,25,1000,256,0.998,0.9927370411104123,0.9994513678975429,0.999,0.71976,0.09066830978903269,0.5757042387659567,60000,30000
cifar-vs-imagenet64,jpeg_bytes,reject,50,1000,256,1.0,0.9961731014136095,1.0,1.0,0.70496,0.0670238644066425,0.8016605953944238,60000,30000
cifar-vs-imagenet64,jpeg_bytes,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,0.6923499999999999,0.04726285539406183,0.9713425168077583,60000,30000
cifar-vs-imagenet64,jpeg_bytes,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.68205,0.034767046178817075,1.0654330158426981,60000,30000
cifar-vs-imagenet64,jpeg_bytes,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.67482,0.022040136115732117,1.1259810736439952,60000,30000
cifar-vs-imagenet64,jpeg_bytes,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.6698489999999999,0.01579196628035913,1.146571309602603,60000,30000
cifar-vs-imagenet64,jpeg_bytes,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.6682885,0.0108721211246932,1.164099440915298,60000,30000
cifar-vs-imagenet64,jpeg_bytes,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.6671375,0.007625883145577307,1.1731116931817005,60000,30000
cifar-vs-dtd,jpeg_bytes,reject,25,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9718,0.03274080023456971,0.9704867681984497,60000,5640
cifar-vs-dtd,jpeg_bytes,reject,50,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9677800000000001,0.025343077950399005,1.5980455929711062,60000,5640
cifar-vs-dtd,jpeg_bytes,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,0.96402,0.018133935039036618,2.263055750257711,60000,5640
cifar-vs-dtd,jpeg_bytes,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9622149999999999,0.01246470115967487,2.8363920812441554,60000,5640
cifar-vs-dtd,jpeg_bytes,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9600380000000001,0.008503796563888397,3.2899586049796223,60000,5640
cifar-vs-dtd,jpeg_bytes,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.958386,0.005913966858209476,3.463757137661774,60000,5640
cifar-vs-dtd,jpeg_bytes,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9577,0.003585526460647032,3.5781502239795517,60000,5640
cifar-vs-dtd,jpeg_bytes,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.9570237500000001,0.0018931781314762777,3.638587771310127,60000,5640
cifar-vs-oneclass,jpeg_bytes,reject,25,1000,256,0.388,0.3582805821997621,0.41857664308358944,0.483,0.34984000000000004,0.10499130630676047,0.4076124327414314,30000,3000
cifar-vs-oneclass,jpeg_bytes,reject,50,1000,256,0.696,0.6667846311336212,0.7237152246205136,0.788,0.31239999999999996,0.0781014724573103,0.42385506955335106,30000,3000
cifar-vs-oneclass,jpeg_bytes,reject,100,1000,256,0.953,0.9380597525405758,0.9644730773401544,0.974,0.28854,0.05725267155338692,0.3749471606715677,30000,3000
cifar-vs-oneclass,jpeg_bytes,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.274625,0.040768669036405886,0.32414029174046816,30000,3000
cifar-vs-oneclass,jpeg_bytes,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.260726,0.027393811782955652,0.2722953862937877,30000,3000
cifar-vs-oneclass,jpeg_bytes,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.253931,0.017621016968381822,0.25444274107540643,30000,3000
cifar-vs-oneclass,jpeg_bytes,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.25022750000000005,0.011993852331507177,0.2479392042406692,30000,3000
cifar-vs-uniform,jpeg_bytes,reject,25,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,0.9940417659571822,60000,30000
cifar-vs-uniform,jpeg_bytes,reject,50,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,1.582550987613666,60000,30000
cifar-vs-uniform,jpeg_bytes,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,2.279201504699714,60000,30000
cifar-vs-uniform,jpeg_bytes,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,3.040739994250567,60000,30000
cifar-vs-uniform,jpeg_bytes,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,4.045204403895322,60000,30000
cifar-vs-uniform,jpeg_bytes,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,4.785521929162753,60000,30000
cifar-vs-uniform,jpeg_bytes,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,5.513561161127568,60000,30000
cifar-vs-uniform,jpeg_bytes,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,1.0,0.0,6.228554002988178,60000,30000
control-disjoint,pixel_std,accept,25,1000,256,0.035,0.025272112485012703,0.0482869032003305,0.059,0.22384000000000004,0.0717638794937955,0.39930859010839714,30000,30000
control-disjoint,pixel_std,accept,50,1000,256,0.033,0.023592783250793958,0.045981540028894805,0.042,0.16136000000000003,0.05146406901907388,0.3997291267345831,30000,30000
control-disjoint,pixel_std,accept,100,1000,256,0.04,0.02951080927390945,0.05400993742556984,0.049,0.11755000000000002,0.03706342536787446,0.29512089588066737,30000,30000
control-disjoint,pixel_std,accept,200,1000,256,0.039,0.028658799196088068,0.052869601300564,0.047,0.08499,0.025960545063615285,0.17948958576513208,30000,30000
control-disjoint,pixel_std,accept,500,1000,256,0.056,0.04337460969160231,0.07202367625311248,0.054,0.05449000000000001,0.01634588327377875,0.08263990151792097,30000,30000
control-disjoint,pixel_std,accept,1000,1000,256,0.045,0.033799334842846314,0.05968314287076907,0.052,0.038837,0.011643128059074158,0.04281612052753116,30000,30000
control-disjoint,pixel_std,accept,2000,1000,256,0.051,0.03900075064262791,0.06643580428795079,0.051,0.0268165,0.008311292182927995,0.0219553445794525,30000,30000
control-disjoint,pixel_std,accept,4000,1000,256,0.029,0.02026631563648779,0.04133862283189209,0.034,0.018426500000000002,0.005511111299003133,0.011102800318948447,30000,30000
cifar10-vs-cifar100,pixel_std,reject,25,1000,256,0.041,0.03036480400090244,0.055148288901404066,0.058,0.23244000000000006,0.0756336327304196,0.40046888685871423,60000,30000
cifar10-vs-cifar100,pixel_std,reject,50,1000,256,0.067,0.05310169229975138,0.08421240187606284,0.101,0.17488000000000006,0.05811871987578529,0.39733368113496204,60000,30000
cifar10-vs-cifar100,pixel_std,reject,100,1000,256,0.064,0.05043597980625934,0.08090107576107321,0.098,0.12593000000000001,0.04019869525245813,0.2953035205887485,60000,30000
cifar10-vs-cifar100,pixel_std,reject,200,1000,256,0.104,0.08657073457775956,0.12446016910266174,0.144,0.094765,0.031158783272136927,0.1808739017079755,60000,30000
cifar10-vs-cifar100,pixel_std,reject,500,1000,256,0.237,0.21168091851549473,0.26433203014094675,0.271,0.06978,0.021326218605275525,0.08476864144678406,60000,30000
cifar10-vs-cifar100,pixel_std,reject,1000,1000,256,0.43,0.3996403690487447,0.46089539675335006,0.505,0.05819,0.01591382732091812,0.04779623299807763,60000,30000
cifar10-vs-cifar100,pixel_std,reject,2000,1000,256,0.75,0.7222391934441553,0.7758473572626495,0.823,0.051828000000000006,0.012166343575618764,0.027816993550385177,60000,30000
cifar10-vs-cifar100,pixel_std,reject,4000,1000,256,0.987,0.9778853478989854,0.9923872528778702,0.992,0.04773375,0.008325205609322811,0.01804990067155277,60000,30000
cifar-vs-imagenet64,pixel_std,reject,25,1000,256,0.085,0.06926305688204971,0.10391326894465445,0.113,0.24728000000000003,0.0851997746475893,0.39883763082693585,60000,30000
cifar-vs-imagenet64,pixel_std,reject,50,1000,256,0.122,0.10314842422860387,0.1437447111027074,0.169,0.19172000000000003,0.06643674886687337,0.3981206099851944,60000,30000
cifar-vs-imagenet64,pixel_std,reject,100,1000,256,0.23,0.20497925388093172,0.25708727135571924,0.307,0.15737,0.05354608389042097,0.30899268198478547,60000,30000
cifar-vs-imagenet64,pixel_std,reject,200,1000,256,0.466,0.43527046967989796,0.4969897594239768,0.595,0.13543,0.038837676295061734,0.19960503687689765,60000,30000
cifar-vs-imagenet64,pixel_std,reject,500,1000,256,0.885,0.8637364095483508,0.9033168785401287,0.936,0.11695600000000002,0.026142801380112272,0.1058853917923916,60000,30000
cifar-vs-imagenet64,pixel_std,reject,1000,1000,256,0.992,0.9842934787948114,0.9959408529961804,0.996,0.10624100000000002,0.018382625465368105,0.06704747381337259,60000,30000
cifar-vs-imagenet64,pixel_std,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.10078450000000001,0.013733492263441225,0.04779160470943119,60000,30000
cifar-vs-imagenet64,pixel_std,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.09658875,0.009885453248966383,0.03817070734020983,60000,30000
cifar-vs-dtd,pixel_std,reject,25,1000,256,0.086,0.07016826133956046,0.10500041068997089,0.119,0.2594,0.08300144577054065,0.41014246470615107,60000,5640
cifar-vs-dtd,pixel_std,reject,50,1000,256,0.159,0.13764593437383232,0.18296401046208605,0.182,0.20686000000000002,0.06165501115075724,0.4052358940288492,60000,5640
cifar-vs-dtd,pixel_std,reject,100,1000,256,0.322,0.2937686092185678,0.35159376667818737,0.392,0.17332,0.05017347506402162,0.31198872191149796,60000,5640
cifar-vs-dtd,pixel_std,reject,200,1000,256,0.641,0.6107798878280525,0.6701409267705855,0.723,0.151195,0.03551333517145355,0.20990676257192326,60000,5640
cifar-vs-dtd,pixel_std,reject,500,1000,256,0.985,0.9753988052083976,0.9908891031628037,0.991,0.134526,0.023523420754643656,0.13277591394625488,60000,5640
cifar-vs-dtd,pixel_std,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.128289,0.016414611752947433,0.1081748894781345,60000,5640
cifar-vs-dtd,pixel_std,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.1243615,0.011257977960095677,0.09611699955425078,60000,5640
cifar-vs-dtd,pixel_std,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.12059025,0.006763803843807123,0.08952401575579935,60000,5640
cifar-vs-oneclass,pixel_std,reject,25,1000,256,0.298,0.27046809653354564,0.32707797049535614,0.372,0.3236,0.10019101756145608,0.41125022924029836,30000,3000
cifar-vs-oneclass,pixel_std,reject,50,1000,256,0.572,0.541114629509388,0.6023342970941716,0.64,0.28652,0.0739451796941491,0.4326395966335644,30000,3000
cifar-vs-oneclass,pixel_std,reject,100,1000,256,0.875,0.8530557319763017,0.8940740940839056,0.913,0.26253000000000004,0.056477421152173725,0.3852257100954454,30000,3000
cifar-vs-oneclass,pixel_std,reject,200,1000,256,0.998,0.9927370411104123,0.9994513678975429,1.0,0.24677,0.04119486739874277,0.3303178265265519,30000,3000
cifar-vs-oneclass,pixel_std,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.23463800000000004,0.0268333552877757,0.281923891562064,30000,3000
cifar-vs-oneclass,pixel_std,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.227709,0.017717232261276025,0.2633028582332131,30000,3000
cifar-vs-oneclass,pixel_std,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.2251015,0.011873392428029995,0.2553043501849518,30000,3000
cifar-vs-uniform,pixel_std,reject,25,1000,256,1.0,0.9961731014136095,1.0,1.0,0.5654,0.07027688097802862,0.7280322491704642,60000,30000
cifar-vs-uniform,pixel_std,reject,50,1000,256,1.0,0.9961731014136095,1.0,1.0,0.54384,0.055595453051486145,1.0864598174889013,60000,30000
cifar-vs-uniform,pixel_std,reject,100,1000,256,1.0,0.9961731014136095,1.0,1.0,0.5319400000000001,0.04382734762679576,1.5113016897369593,60000,30000
cifar-vs-uniform,pixel_std,reject,200,1000,256,1.0,0.9961731014136095,1.0,1.0,0.522615,0.033318715086269456,2.025595454715842,60000,30000
cifar-vs-uniform,pixel_std,reject,500,1000,256,1.0,0.9961731014136095,1.0,1.0,0.5192819999999999,0.022311980548575257,2.7687242463746853,60000,30000
cifar-vs-uniform,pixel_std,reject,1000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.518705,0.015862533687907503,3.374414830918486,60000,30000
cifar-vs-uniform,pixel_std,reject,2000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.5174734999999999,0.011068493472464993,3.9859195867234503,60000,30000
cifar-vs-uniform,pixel_std,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.5167257500000001,0.007721372898487681,4.591202991797527,60000,30000
control-disjoint,pixel_entropy,accept,25,1000,256,0.042,0.031220715828023885,0.05628472327710986,0.053,0.22924,0.07543621411497266,0.34817324387047827,30000,30000
control-disjoint,pixel_entropy,accept,50,1000,256,0.042,0.031220715828023885,0.05628472327710986,0.053,0.16396,0.052978471099117234,0.3083585166753902,30000,30000
control-disjoint,pixel_entropy,accept,100,1000,256,0.035,0.025272112485012703,0.0482869032003305,0.04,0.11715,0.0356507713801539,0.21508546337322842,30000,30000
control-disjoint,pixel_entropy,accept,200,1000,256,0.041,0.03036480400090244,0.055148288901404066,0.056,0.08452000000000001,0.026197702189314238,0.12966935242129585,30000,30000
control-disjoint,pixel_entropy,accept,500,1000,256,0.044,0.03293803969043349,0.058552091820354674,0.056,0.053610000000000005,0.01604630487059248,0.06349311028670013,30000,30000
control-disjoint,pixel_entropy,accept,1000,1000,256,0.047,0.03552692265984565,0.06194024745942417,0.047,0.038247,0.011587665468074231,0.03578034344242655,30000,30000
control-disjoint,pixel_entropy,accept,2000,1000,256,0.042,0.031220715828023885,0.05628472327710986,0.036,0.026656000000000003,0.00812481778257211,0.01905822438050607,30000,30000
control-disjoint,pixel_entropy,accept,4000,1000,256,0.043,0.03207848108830104,0.057419304219659906,0.046,0.01872125,0.005647553535602828,0.010183776431139449,30000,30000
cifar10-vs-cifar100,pixel_entropy,reject,25,1000,256,0.06,0.046896260125365796,0.07647141063065788,0.09,0.23464000000000004,0.07866937396471388,0.3508207840776963,60000,30000
cifar10-vs-cifar100,pixel_entropy,reject,50,1000,256,0.083,0.06745476337992819,0.10173687004112154,0.12,0.18006000000000003,0.060395334256877826,0.3054694358503433,60000,30000
cifar10-vs-cifar100,pixel_entropy,reject,100,1000,256,0.127,0.10777968175436589,0.14907518459108146,0.197,0.13823000000000002,0.04716107611155623,0.22121420748005033,60000,30000
cifar10-vs-cifar100,pixel_entropy,reject,200,1000,256,0.244,0.21839238069189443,0.27156699138433754,0.303,0.11102000000000001,0.03692302262816521,0.13996877074243322,60000,30000
cifar10-vs-cifar100,pixel_entropy,reject,500,1000,256,0.551,0.5200345669542097,0.5815750893899785,0.623,0.08950000000000001,0.025652719154116977,0.07327027796756556,60000,30000
cifar10-vs-cifar100,pixel_entropy,reject,1000,1000,256,0.815,0.7897434604481715,0.8378455934424025,0.869,0.07753600000000001,0.018712581436028542,0.045168121575530594,60000,30000
cifar10-vs-cifar100,pixel_entropy,reject,2000,1000,256,0.989,0.9804104032716243,0.9938468899108859,0.995,0.0731255,0.013736575255499458,0.030249545098457703,60000,30000
cifar10-vs-cifar100,pixel_entropy,reject,4000,1000,256,1.0,0.9961731014136095,1.0,1.0,0.06795775000000001,0.009542858714111825,0.02174251911728033,60000,30000
cifar-vs-imagenet64,pixel_entropy,reject,25,1000,256,0.046,0.03466231280457309,0.06081251111186951,0.067,0.23188000000000006,0.07673112536643784,0.34083158416584947,60000,30000
cifar-vs-imagenet64,pixel_entropy,reject,50,1000,256,0.058,0.045133070071593756,0.07424990827877548,0.08,0.17328000000000002,0.0560824535839865,0.30639521613464454,60000,30000
cifar-vs-imagenet64,pixel_entropy,reject,100,1000,256,0.07,0.055776130777577704,0.08751500200671816,0.101,0.12878000000000003,0.041831944731269666,0.21255933409148467,60000,30000
cifar-vs-imagenet64,pixel_entropy,reject,200,1000,256,0.145,0.12453458493047026,0.168182513065867,0.186,0.100095,0.03257784484891534,0.13372951338447744,60000,30000
cifar-vs-imagenet64,pixel_entropy,reject,500,1000,256,0.337,0.3083759318113042,0.3668716371278592,0.367,0.076168,0.023275647703125256,0.06965188520901619,60000,30000
cifar-vs-imagenet64,pixel_entropy,reject,1000,1000,256,0.584,0.5531855021924276,0.6141715788450587,0.642,0.065411,0.018994106428047622,0.041598672536648965,60000,30000
