comparison,scorer,expected,im_size,n_target,n_test,target_score_std,test_score_std,seed,secs,KL,KL_p,JS,JS_p,wasserstein,wasserstein_p,KS,KS_p,CVM,CVM_p,AD,AD_p
control-disjoint,jpeg_bytes,accept,32,4000,4000,0.053006808291251116,0.05267967720320159,0,2.0,0.009506292760618259,0.7910447761194029,0.0584426939666651,0.7761194029850746,0.0011428222656249991,0.746268656716418,0.0145,0.7944617391511757,0.10980314062499019,0.5390308166711124,-0.582178725989843,0.25
cifar10-vs-cifar100,jpeg_bytes,reject,32,4000,4000,0.053006808291251116,0.05552985293166409,0,1.9,0.011004185901284061,0.4079601990049751,0.06492636932859702,0.24875621890547264,0.0022011718749999983,0.10945273631840796,0.01825,0.5181341116358225,0.1649451250000311,0.3471396369452212,0.5307212923025986,0.20034151030868091
cifar-vs-imagenet64,jpeg_bytes,reject,32,4000,4000,0.053006808291251116,0.05325904868651047,0,1.8,0.02707780298018435,0.004975124378109453,0.09801310135252707,0.004975124378109453,0.009213623046875001,0.004975124378109453,0.07175,2.245747960132972e-09,5.432669750000059,2.440232460543257e-10,37.9330428547309,0.001
cifar-vs-dtd,jpeg_bytes,reject,32,4000,4000,0.053006808291251116,0.08791159240153001,0,8.9,0.32051873675803755,0.004975124378109453,0.356778305480923,0.004975124378109453,0.048228759765625,0.004975124378109453,0.29875,7.631845280683667e-158,78.22119726562505,2.6409875730770693e-08,546.0591645160024,0.001
cifar-vs-oneclass,jpeg_bytes,reject,32,4000,4000,0.053006808291251116,0.03879853191593916,0,1.5,0.37286674926756597,0.004975124378109453,0.31939639395468955,0.004975124378109453,0.034286865234375,0.004975124378109453,0.29525,4.035747876350886e-154,91.79185393750004,2.3596449683083165e-08,630.5049273508391,0.001
cifar-vs-uniform,jpeg_bytes,reject,32,4000,4000,0.05300680829125112,0.006358509721867488,0,1.4,5.974590738280374,0.004975124378109453,0.9893175502857788,0.004975124378109453,0.312076416015625,0.004975124378109453,1.0,0.0,667.028038875,1.9334511036639412e-07,4120.922169618106,0.001
control-disjoint,jpeg_bytes,accept,64,4000,4000,0.028452471635775602,0.028388489374611484,0,1.8,0.009830741634318201,0.746268656716418,0.05948796600568569,0.7313432835820896,0.00058245849609375,0.7910447761194029,0.0155,0.7226224980620596,0.10498114062511377,0.5611171153247927,-0.6555671446870577,0.25
cifar10-vs-cifar100,jpeg_bytes,reject,64,4000,4000,0.028452471635775602,0.030153373977349487,0,2.3,0.015645396899082956,0.04975124378109453,0.07573955262377165,0.024875621890547265,0.0012760620117187491,0.12437810945273632,0.02475,0.17244323302142237,0.18736525000008442,0.2933864634777439,2.0617888992517677,0.045997832589799566
cifar-vs-imagenet64,jpeg_bytes,reject,64,4000,4000,0.028452471635775602,0.06379849279018639,0,2.1,1.8129029661314626,0.004975124378109453,0.7833744295972459,0.004975124378109453,0.10989801025390625,0.004975124378109453,0.802,0.0,504.4095900156251,1.183978942664865e-07,3111.8435682991976,0.001
cifar-vs-dtd,jpeg_bytes,reject,64,4000,4000,0.028452471635775602,0.08031619216022035,0,9.7,1.0729013206138434,0.004975124378109453,0.6478220244617677,0.004975124378109453,0.08375701904296876,0.004975124378109453,0.63975,0.0,308.7820627031251,6.783256667475257e-08,1941.1954896477412,0.001
cifar-vs-oneclass,jpeg_bytes,reject,64,4000,4000,0.028452471635775602,0.02118603727614158,0,2.0,0.2851275639475398,0.004975124378109453,0.28453832474787105,0.004975124378109453,0.0165260009765625,0.004975124378109453,0.266,8.110474275052721e-125,73.30209550000018,3.734631159879598e-08,502.6600199428431,0.001
cifar-vs-uniform,jpeg_bytes,reject,64,4000,4000,0.028452471635775602,0.003531596884104817,0,1.9,6.197075561297128,0.004975124378109453,0.990516813330389,0.004975124378109453,0.23675622558593745,0.004975124378109453,1.0,0.0,666.7419680937501,1.923223762467785e-07,4086.436393731487,0.001
control-disjoint,jpeg_bytes,accept,128,4000,4000,0.020230831069102787,0.02020529160124066,0,3.3,0.015564009079466295,0.05970149253731343,0.07518389167826409,0.03980099502487562,0.000455642700195312,0.6567164179104478,0.02425,0.19015817684498368,0.14356356250004865,0.40987050735008557,-0.4209816950197876,0.25
cifar10-vs-cifar100,jpeg_bytes,reject,128,4000,4000,0.020230831069102787,0.021727743067428338,0,4.0,0.014138650380286256,0.0945273631840796,0.07337017816399917,0.03482587064676617,0.0011920471191406243,0.014925373134328358,0.02675,0.11426074389921974,0.2872145000001183,0.1469394756985979,2.895902422485304,0.021388920079039347
cifar-vs-imagenet64,jpeg_bytes,reject,128,4000,4000,0.020230831069102787,0.03419715646950093,0,3.6,1.002497487985119,0.004975124378109453,0.619496593909159,0.004975124378109453,0.0434776611328125,0.004975124378109453,0.61275,0.0,332.64267525000014,9.973930081841331e-08,2114.1196185463023,0.001
cifar-vs-dtd,jpeg_bytes,reject,128,4000,4000,0.020230831069102787,0.07127275141276436,0,11.1,2.043886022791096,0.004975124378109453,0.8181582501335825,0.004975124378109453,0.1152486572265625,0.004975124378109453,0.84625,0.0,534.1995712500002,1.5497153071919456e-07,3273.6657452356626,0.001
cifar-vs-oneclass,jpeg_bytes,reject,128,4000,4000,0.020230831069102787,0.015012058173994258,0,3.5,0.2974988941931552,0.004975124378109453,0.28565272713955664,0.004975124378109453,0.011270599365234375,0.004975124378109453,0.261,3.949047346274667e-120,68.619130890625,1.4434805906127224e-08,472.30767258354746,0.001
cifar-vs-uniform,jpeg_bytes,reject,128,4000,4000,0.020230831069102787,0.002131739557641486,0,3.4,6.1813118451087155,0.004975124378109453,0.9906020201994451,0.004975124378109453,0.17367250061035155,0.004975124378109453,1.0,0.0,666.6798418281251,1.9210087265353337e-07,4069.768232614528,0.001
control-disjoint,jpeg_bytes,accept,256,4000,4000,0.011826377612860707,0.011852269850823263,0,9.6,0.008327692520912,0.9502487562189055,0.05547163137266294,0.8955223880597015,0.00021376037597656226,0.8955223880597015,0.02125,0.3271132241358086,0.10908210937509466,0.5422700650799384,-0.6613930432733621,0.25
cifar10-vs-cifar100,jpeg_bytes,reject,256,4000,4000,0.011826377612860707,0.012729777479578042,0,10.0,0.018255915059422725,0.009950248756218905,0.0838568572425667,0.009950248756218905,0.0007473869323730468,0.004975124378109453,0.028,0.08690390956610039,0.3654563750001216,0.08931216474317627,3.7462133759812573,0.010057788436315458
cifar-vs-imagenet64,jpeg_bytes,reject,256,4000,4000,0.011826377612860707,0.024858834326845124,0,10.0,1.1894811692506193,0.004975124378109453,0.6706753297988491,0.004975124378109453,0.0329888916015625,0.004975124378109453,0.67375,0.0,380.56122942187517,1.0631599078880782e-07,2385.9794723066725,0.001
cifar-vs-dtd,jpeg_bytes,reject,256,4000,4000,0.011826377612860707,0.0748977108111006,0,17.5,3.6536449528756165,0.004975124378109453,0.9313834986883976,0.004975124378109453,0.14366616058349607,0.004975124378109453,0.95775,0.0,640.15624328125,1.7402396634835782e-07,3907.6635849921176,0.001
cifar-vs-oneclass,jpeg_bytes,reject,256,4000,4000,0.011826377612860707,0.008813443151618545,0,9.5,0.28000598074604377,0.004975124378109453,0.2749939738965039,0.004975124378109453,0.006410820007324219,0.004975124378109453,0.2515,1.7623793295848976e-111,64.975484859375,2.553163813701076e-08,445.9867643732823,0.001
